,"Citations","Chemin","Conditions d'accès","Contact du support de l'outil","Description","Input","License","Lien vers l'outil","Mots clés","Output","Pré-requis d'utilisation","Système d'exploitation","Type de logiciel","Téléchargements","Version du logiciel","Visites annuelles","Visites uniques","Responsable scientifique","Titre"
"CesGO",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png",,,"CeSGO offers a complete Virtual Research Environment (VRE) for Life Sciences. This VRE is based on a collaborative environment built on Wordpress and BuddyPress. It associated to the data sharing services of Owncloud and the SEEK platform.
Main site : https://www.cesgo.org/en/
Collaborative platform : https://www.cesgo.org/collaboration
Data management platform : https://data-access.cesgo.org
Scientific data platform : https://seek.cesgo.org/
 
 
",,,"https://www.cesgo.org","Développements technologiques de l‘Information et de la Communication, Intégration d'outils, Interfaces, portails web, Intégration de données, Gestion et transfert de données, Bases de données et systèmes d’informations",,,,,,,,,"Nicolas Jacques","GenOuest "
"JFlow","2","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","The software package is available under the GNU General Public License (GPL) and can be downloaded from the gitlab forgemia : https://forgemia.inra.fr/genotoul-bioinfo/jflow.
",,"Workflow management system in JS using Makeflow/Weaver
",,,"https://forgemia.inra.fr/genotoul-bioinfo/jflow","Développement de workflows, Cluster",,,,,"1357",,,,"Gaspin Christine","Genotoul-bioinfo"
"Protomata ",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free
",,"Given a sample of (unaligned) sequences belonging to a structural or functional family of proteins, Protomata-Learner infers automata characterizing the family. Automata are graphical models representing a (potentially infinite) set of sequences.
",,,"http://tools.genouest.org/tools/protomata/learn/","Analyse de séquences, Alignement (multiple) de séquences, Recherche de motifs, Prédiction d'homologie/orthologie",,,,,,,,,"Nicolas Jacques","GenOuest "
"Cadbiom",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free
",,"CADBIOM is an open source modelling software. Based on Guarded transition semantic, it gives a formal framework to help the modelling of biological systems such as cell signaling network.
",,,"http://cadbiom.genouest.org/","Biologie des systèmes, Modélisation des réseaux de régulation, Modélisation des systèmes",,,,,,,,,"Nicolas Jacques","GenOuest "
"Caspo",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free
",,"The caspo pipeline is dedicated to automated reasoning on logical signaling networks
",,,"http://bioasp.github.io/caspo/","Biologie des systèmes, Modélisation des systèmes, Systèmes dynamiques",,,,,,,,,"Nicolas Jacques","GenOuest "
"Askomics",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free
",,"AskOmics is a visual SPARQL query builder for RDF database.
",,,"https://github.com/askomics","Analyse de données de séquençage NGS, Intégration de données hétérogènes, Représentation des connaissances, Ontologies, Web sémantique",,,,,,,,,"Nicolas Jacques","GenOuest "
"Mobyle","239","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","The Mobyle framework is developped under the GPLv2 license.
",,"Mobyle is a framework and web portal specifically aimed at the integration of bioinformatics software and databanks.
Mobyle is the successor of Pise and the RPBS server, previous systems that provided web environments to define and execute bioinformatics analyses.
Functionalities:
data reusability: the tagging of the user data facilitates the reuse of input values or results between different programs.
automatic data validation and format conversion: the description of the expected data and their format allows to verify and convert input values if necessary.
service discovery and workflow authoring assistance: services are provided through a searchable menu; furthermore, type compatibility mechanisms between results and potential program inputs let users either interactively pipe tasks or build complete workflows before to run them.
Based on extensive user studies, we developed the end-user interface as a Web Portal that provides a global and integrated view of all the elements needed to perform analyses, such as the available programs, the submitted jobs and the data of interest.
References:
Bertrand Néron, Hervé Ménager, Corinne Maufrais, Nicolas Joly, Julien Maupetit, Sébastien Letort, Sébastien Carrere, Pierre Tuffery, and Catherine LetondalMobyle: a new full web bioinformatics frameworkBioinformatics (2009); 25 (22): 3005-3011. doi:10.1093/bioinformatics/btp493. 
",,,"https://projets.pasteur.fr/projects/mobyle/wiki","Développements technologiques de l‘Information et de la Communication, Outils, Intégration d'outils, Interopérabilité, Interfaces, portails web, Données, Intégration de données, Environnements de calcul, Cluster",,,,,,,"209734 an","20399 an","Gascuel Olivier","DBC"
"Autograph",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free access.
",,"AutoGRAPH is an integrated web server for multi-species comparative genomic analysis. It is designed for constructing and visualizing synteny maps between two or three species, determination and display of macrosynteny and microsynteny relationships among species, and for highlighting evolutionary breakpoints.
 
",,,"http://autograph.genouest.org/","Analyse de séquences, Prédiction d'homologie/orthologie, Génomique comparative, Comparaison des génomes",,,,,,,,,"Nicolas Jacques","GenOuest "
"GO2Pub",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Accès libre
",,"GO2PUB to automatically enrich PubMed queries with gene names, symbols and synonyms annotated by a GO term of interest or one of its descendants
",,,"http://go2pub.genouest.org","Intégration de données hétérogènes, Ontologies, Développements technologiques de l‘Information et de la Communication, Données, Intégration de données, Bases de données et systèmes d’informations",,,,,,,,,"Nicolas Jacques","GenOuest "
"SHAMAN: a Shiny Application for Metagenomic ANalysis","1","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","the web server is open and available at  http://shaman.c3bi.pasteur.fr/
the code is accessible here https://github.com/aghozlane/shaman and release under the GPLv3 license.
",,"SHAMAN is a SHiny application for Metagenomic ANalysis including the normalization, the differential analysis and mutiple visualization.
SHAMAN is based on DESeq2 R package [Anders and Huber 2010] for the analysis of metagenomic data, as suggested in [McMurdie and Holmes 2014, Jonsson2016] . SHAMAN robustly identifies the differential abundant genera with the Generalized Linear Model implemented in DESeq2 [Love 2014] . Resulting p-values are adjusted according to the Benjamini and Hochberg procedure [Benjamini and Hochberg 1995]. The PCOA is performed with the ade4 R package and plots are generated with ggplot2 or D3.js packages .     
",,,"http://shaman.c3bi.pasteur.fr/","Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Métagénomique, métatranscriptomique, Biostatistiques, Tests statistiques",,,,,"127",,"1855 an","742 an","Gascuel Olivier","DBC"
"SARTools","4","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","https://github.com/PF2-pasteur-fr/SARTools
",,"SARTools is a R package dedicated to the differential analysis of RNA-seq data. It provides tools to generate descriptive and diagnostic graphs, to run the differential analysis with one of the well known DESeq2 or edgeR packages and to export the results into easily readable tab-delimited files. It also facilitates the generation of a HTML report which displays all the figures produced, explains the statistical methods and gives the results of the differential analysis.
",,,"https://github.com/PF2-pasteur-fr/SARTools","Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes",,,,,,,,,"Gascuel Olivier","DBC"
"LSD","3","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"LEAST-SQUARES METHODS TO ESTIMATE RATES AND DATES FROM SERIAL PHYLOGENIES
",,,"http://www.atgc-montpellier.fr/LSD/","Datation des spéciations",,,,,,,,,"Rivals Eric, Guindon Stéphane","ATGC"
"VARiant Annotation and Filtration Tool (VarAFT)","18",,,,"L'annotation et la filtration des données de NGS sont des étapes clé de l'analyse des données de NGS. Elles peuvent être réalisées via différentes suites logicielles nécessitant le plus souvent des compétences en bioinformatique (ligne de commande). VarAFT a été développé afin de fournir aux utilisateurs un outil puissant d'annotation et de filtration disponible via une interface utilisateur simple et conviviale. Il intègre une large palette d'annotations y compris les prédictions d'UMD-Predictor et d'HSF. Au niveau de la filtration, il permet de combiner plusieurs échantillons afin d'explorer différentes hypothèses : transmission autosomique dominante ou récessive, mutation de novo, mutation somatique, etc.
",,,"http://varaft.eu","Analyse de génomes, Annotation structurale et fonctionnelle des génomes, Panels (amplicons, captures), Exomes, Génomes complets, Intégration d'outils, Interopérabilité, Interfaces, portails web, Intégration de données, Gestion et transfert de données",,,,,"100",,"3100 an",,"Béroud Christophe","MMG-GBIT"
"JBrowse / WebApollo browsers",,,"MMODB Acces : EMBRC France
",,"Genome browser sfor marine model organsims 
",,,,,,,,,,,,,"Corre Erwan","ABiMS"
"HECTAR",,,"http://webtools.sb-roscoff.fr : Galaxy instance that host tools developped at the Station Biologique de Roscoff in collaboration with ABiMS (no account).
",,"Hectar: Predict subcellular targeting for heterokont proteins. 
",,,,,,,,,,,,,"Corre Erwan","ABiMS"
"WiseScaffolder",,,"http://webtools.sb-roscoff.fr : Galaxy instance that host tools developped at the Station Biologique de Roscoff in collaboration with ABiMS (no account)
",,"WiseScaffolder: genome scaffolding of pre-assembled contigs using mate-pair data. [webpage]
",,,,,,,,,,,,,"Corre Erwan","ABiMS"
"MicRhoDE workflow",,,"http://webtools.sb-roscoff.fr : Galaxy instance that host tools developped at the Station Biologique de Roscoff in collaboration with ABiMS (no account)
",,"MicRhoDE workflow: places query sequences into MicRhoDE tree (type-1 rhodopsin phylogeny). [webpage]
",,,,,,,,,,,,,"Corre Erwan","ABiMS"
"TriAnnot","8",,"Gratuit sur http://www.clermont.inra.fr/triannot 
",,"Web-oriented platform dedicated to the annotation of plant genome, mainly for wheat but also for maize, rice, barley and oak. The pipeline can be used to annotate full genomes through collaboration. However, on the web site, for technical reasons and parallelization purposes, 10 sequences up to 3 Mb can be submitted online at once. As it would be cumbersome to annotate several Mb or Gb of sequence this way, the online access is more adapted to small scale analyses (i.e. BAC or small BAC contigs) in which the user can submit its sequence directly on the webpage (copy/paste or download) and start the analysis with a single click. However the TriAnnot pipeline can be also used directly on command line for very large projects. The pipeline uses a queuing list for sequence submission. Therefore, the automatic structural and functional annotation process will depend of the queue length. In general, in this configuration, TriAnnot can deliver a BAC annotation in less than one hour depending of the cluster charge. For example: a default analysis of a 117 kb sequence containing 6 genes takes about 30 minutes. TriAnnot is used within the framework of an international effort (International Wheat Genome Sequencing Consortium - IWGSC) for obtaining a reference sequence of the bread wheat genome. TriAnnot has already been used to annotate the wheat chromosome 3B (Choulet et al. 2014 Science) and 4D (Helguera et al. 2015 Plant Science). Annotation of chromosome 1B is currently underway (INRA - GDEC), as well as the annotation of chromosome 7A in collaboration with the University of Murdoch (Australia). TriAnnot has been used for the annotation of the 21 wheat chromosomes in parallel with MIPS in Germany. The TriAnnot source code has been strongly improved to facilitate its deployment on external computing resources such as: IEB, Olomouc (Czech Republic); CSIRO, Kensington (Australia); Mesocentre, Université Clermont Auvergne (UCA) and ABiMS CNRS bioinformatics platform, Roscoff (France). The development of a virtual machine is also underway in collaboration with ABiMS and the French Institute of bioinformatics (IFB).
The triAnnot pipeline is referenced within the omictools web site.
Publication :
Leroy P, Guilhot N, Sakai H, Bernard A, Choulet F, Theil S, Reboux S, Amano N, Flutre T, Pelegrin C, Ohyanagi H, Seidel M, Giacomoni F, Reichstadt M, Alaux M, Gicquello E, Legeai F, Cerutti L, Numa H, Tanaka T, Mayer K, Itoh T, Quesneville H, Feuillet C (2012) TriAnnot: a versatile and high performance pipeline for the automated annotation of plant genomes. Frontiers in Plant Sciences 3:1-14.
",,,"http://www.inra.fr/decodage/TriAnnot","Analyse de données de séquençage NGS, Génomique (DNA-seq), Analyse de génomes, Annotation structurale et fonctionnelle des génomes, Analyse de séquences, Annotation de séquences, Recherche de motifs, Prédiction d'homologie/orthologie, Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"1005 an","89 an","PEYRET Pierre","AuBi"
"Synteny Viewer","10",,"Gratuit sur https://urgi.versailles.inra.fr/synteny
",,"Web-oriented platform dedicated to the visualization of conserved genes/loci between species (i.e. comparative genomics or synteny) based on ancestral genomes reconstruction (i.e. paleogenomics). Users can navigate between plant (cereals, monocots, eudicots) and animal (vertebrates) genomes to transfer any structural and functional information from models to species of agricultural or medical interests. From the ongoing developments, the tools will be generic across eukaryotic phyla (plants, vertebrates, prokaryotes, protists, insects, etc.) and will target not only genome structures (gene order, sequences, etc.) but also the annotation of functions (gene ontologies, metabolic pathways, regulatory interactions, etc.). The platform will allow users to visualise conserved/specific genes either at the locus or at the gene levels in the considered genomes as well as associated gene structure, molecular evolution, expression, regulation as phenotypic and trait data, and provide access to the raw data (gene name, sequence, position, expression, methylation, repeat content context, polymorphism, phenotype, QTL, association genetics) obtained from synteny, duplication and ancestral content analyses for both plant and animal lineages. Transfert vers le CRRI.
Publication :
    Pont C, Murat F, Guizard S, Flores R, Foucrier S, Bidet Y, Quraishi UM, Alaux M, Doležel J, Fahima T, Budak H, Keller B, Salvi S, Maccaferri M, Steinbach D, Feuillet C, Quesneville H, Salse J (2013) Wheat Syntenome Unveils New Evidences of Contrasted Evolutionary Plasticity Between paleo- and Neoduplicated Subgenomes. Plant Journal. 76(6):1030-44.
 
",,,,,,,,,,,"2982 an","1480 an","PEYRET Pierre","AuBi"
"ActivCollector ",,,"Gratuit
",,"Estimation tools design of energy expenditure and energy intake.
 
",,,"https://activcollector.clermont.inra.fr","Aucun des termes ci-dessus ne convient",,,,,,,,,"PEYRET Pierre","AuBi"
"NucleusJ",,,"Gratuit sur http://imagejdocu.tudor.lu/doku.php?id=plugin:stacks:nuclear_analysis_pl...
Wiki ImageJ requis.
",,"Plugin for 3D image analysis.
    - Publication :
Poulet, A., I. Arganda-Carreras, D. Legland, A. V. Probst, P. Andrey, and C. Tatout (2015) NucleusJ: an ImageJ plugin for quantifying 3D images of interphase nuclei. Bioinformatics (Oxford, England) 31:1144-1146.
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"Nucbase","2",,"Gratuit sur https://grr.gred-clermont.fr/nucbase
",,"Program designed to make an exhaustive search for sequence matches and to align short sequence reads from large nucleic acid databases to genomes or input sequences.
Publication :
    Dufourt, J., P. Pouchin, P. Peyret, E. Brasset, and C. Vaury (2013) NucBase, an easy to use read mapper for small RNAs. Mobile DNA 4:1.
",,,,,,,,,"84",,,,"PEYRET Pierre","AuBi"
"DroPNet ","3",,"Gratuit sur http://dropnet.isima.fr/site/
",,"Drosophila Protein Network allows the generation and analysis of protein-protein interaction (PPI) networks. This platform will help integrating user experimental data with various available PPI databases.
Publication :
Y. Renaud, A. Baillif, J-B. Perez, M. Agier, E. Mephu Nguifo, V. Mirouse (2012) DroPNet: a web portal for integrated analysis of Drosophila protein-protein interaction networks.  Nucleic Acids Research, 40(Web Server issue):W134-9, Oxford.
 
",,,"http://dropnet.isima.fr/site/","Bioimagerie, Protéomique",,,,,,,"72000 an",,"PEYRET Pierre","AuBi"
"RulNet ",,,"Gratuit sur http://rulnet.isima.fr
",,"Rule Inference and Network Visualization is a web-oriented platform dedicated to the inference and analysis of regulatory networks from qualitative and quantitative –omics data by means of rule discovery and statistical techniques.
 Publication :
    Vincent J, Martre P, Gouriou B, Ravel C, Dai ZW, Petit JM, Pailloux M (2015) RulNet: A Web-Oriented Platform for Regulatory Network Inference, Application to Wheat -Omics Data. Plos One 10(5) e0127127. doi:10.1371/journal.pone.0127127
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"SeqCode",,,"Gratuit sur http://www.isima.fr/~mephu/FILES/SeqCod/
",,"Motifs extraction and supervised classification of primary protein structure.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"Ant-Motifs",,,"Gratuit sur http://www.isima.fr/~mephu/FILES/AntMotif/
",,"Motifs extraction and supervised classification for proteins structure.
",,,"http://www.isima.fr/~mephu/FILES/AntMotif/","Analyse de séquences, Bioinformatique structurale",,,,,,,,,"PEYRET Pierre","AuBi"
"Prefon_Meta",,,"Gratuit sur http://com.isima.fr/PREFON_META
",,"Functional prediction of metagenomic sequences.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"MIL-ALIGN",,,"Gratuit sur http://www.isima.fr/~mephu/IRR/
",,"Phenotype predictor of ionizing-radiation-resistant bacteria by extraction of discriminative motifs using a multiple-instance learning model.
 
 
",,,,,,,,,,,"35 an",,"PEYRET Pierre","AuBi"
"PANAM","14",,"Gratuit sur https://code.google.com/p/panam-phylogenetic-annotation/
",,"PANAM  makes it possible to analyse a large dataset of 18S rRNA in a simple and rapid way. It assigns taxonomy to reads generated by next generation sequencing technologies or to near-full-length sequences, and permits to define environmental clades. A readme file text that contains instructions to set up PANAM is available in the package (Taib et al. 2013).
    Publication :
    Taib, N., J. F. Mangot, I. Domaizon, G. Bronner, and D. Debroas (2013) Phylogenetic affiliation of SSU rRNA genes generated by massively parallel sequencing: new insights into the freshwater protist diversity. PloS one 8:e58950.
 
",,,,,,,,,"15",,"70 an","40 an","PEYRET Pierre","AuBi"
"Metavir","32",,"Gratuit sur http://metavir-meb.univ-bpclermont.fr/
",,"Web server for the analysis of viral metagenomes. Results from a variety of analyses realized on public viromes can be visualised. Users can also upload their own data in a private mode to be analysed. Recently Metavir was updated to allow for the analysis of assembled viromes.
    Publications :
    Roux, S., M. Faubladier, A. Mahul, N. Paulhe, A. Bernard, D. Debroas, and F. Enault (2011) Metavir: a web server dedicated to virome analysis. Bioinformatics (Oxford, England) 27:3074-3075.
    Roux, S., J. Tournayre, A. Mahul, D. Debroas, and F. Enault (2014) Metavir 2: new tools for viral metagenome comparison and assembled virome analysis. BMC bioinformatics 15:76.
",,,,,,,,,,,,"600 an","PEYRET Pierre","AuBi"
"MicroAnnot ",,,"Gratuit sur http://galaxy01.calcul.crri.fr/
",,"Pipeline dedicated to microsporidian genome annotation under Galaxy. Not already published.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"PhylInterpret",,,"Gratuit
",,"Efficient parallel algorithm for DNA microarray data analysis. It uses parallel computing and the concepts of propositional logic to determine the microbial composition of a hybridized biological sample. Not already published.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"P-MetaStackPrt",,,"Gratuit
",,"Parallel software to compute a complete backtranslation of short peptides to select probes for functional microarrays. P-MetaStackPrt uses meta-programming and a model driven engineering approach to automatically generate source codes to perform complete backtranslation on different architectures: PCs, Symmetric Multiprocessors servers, computing clusters, or a computing grid. P-MetaStackPrt is filtering the generated oligonucleotides with usual selection criteria for the design of microarray probes. It can be easily integrated in probe design software for functional microarrays.
 Publication :
    Jaziri, F., Peyretaillade, E., Peyret, P. and Hill, DRC (2014) High Performance Computing of Oligopeptides Complete Backtranslation applied to DNA microarray probe design. Concurrency and Computation: Practice and Experience, DOI: 10.1002/cpe.3412, 19p.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"MetaExploArrays ","3",,"Gratuit
",,"Large scale oligonucleotide probe design software for explorative DNA microarrays. It allows selecting probes for an individual specific nucleic acid sequence or a group of sequences. It used a parallel approach to simultaneous design of thousands of sensitive, specific, isothermal and explorative
 
Publication :
    Jaziri, F., Parisot, N., Denonfoux, J., Dugat-Bony, E., Peyretaillade, E., Peyret, P. and Hill, DRC (2012) MetaExploArrays: a large-scale oligonucleotide probe design software for explorative DNA microarrays. Proceedings of the IEEE Thirteenth International Conference on Parallel and Distributed Computing, Applications and Technologies PDCAT2012, IEEE, Beijing, China, 2012, ISBN: 978-0-7695-4879-1, 660-667.
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
