"Nom de la formation","Chemin","Type de formation","Cours résumé","Description","Mots clés","Date de la session","Date de la session","Conditions d'accès à la formation","Lien vers la formation","Lieu de la formation","Organisateurs","Sponsors","Nombre de personnes formées","Nombre de participants académiques","Nombre de participants non-académiques","Nombre de jours","Participation","Niveau de formation (formations universitaires uniquements)","Opérateur de la formation","Nombre de sessions","Reccurance","Taux de satisfaction des apprenants","Temps de formation","Thème (formations professionnelles uniquement)"
"Ecole NGS Aviesan Roscoff",""," Formation professionnelle","","(nov 2013, oct 2014): responsabilité de l’atelier RNA-seq (Marc Deloger), intervention atelier CNV (Bastien Job).
","","","","","","","","","","","","","","","","","","","","Analyse des données NGS"
"Formation interne pipeline DEVA detection de variants par NGS",""," Formation professionnelle","","","","","","","","","","","","","","","","","","","","","","Analyse des données NGS"
"Formation interne pipeline RNASeq",""," Formation professionnelle","","","","","","","","","","","","","","","","","","","","","","Analyse des données NGS, Analyse des données RNAseq"
"IFSBM",""," Formation universitaire","","
UFR médecine Paris-Sud (mai 2015). Big data en médecine. Acquisition et analyse des données de haut débit dans le but de détecter des variants génomiques (CGH, exome, génome), étudier les profils d’expression ou le statut épigénétique des cellules (expression array, RNA-seq, ChiP-seq, medip-seq).
 
UFR médecine Paris-Sud (janvier 2015) Méthodologie en biologie moléculaire et cellulaire et analyse d’article

","","","","","","","","","20/ an","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","5","","","",""
"Formations à la plate-forme Microscope",""," Formation professionnelle","Formations dédiées à l'analyse de génomes bactériens via l'utilisation de la plate-forme MicroScope.","L'équipe LABGeM du Genoscope organise régulièrement des formations dédiées à l'analyse de génomes bactériens via l'utilisation de la plate-forme MicroScope.
La prochaine formation ""Annotation and analysis of prokaryotic genomes using the MicroScope platform"" aura lieu sur 4,5 jours à Evry, du lundi 25 Septembre 2017 au Vendredi 29 Septembre 2017.
Les objectifs de cette formation sont de permettre aux participants de :
   • acquérir les connaissances théoriques et pratiques des outils d’annotation de génomes (annotation structurale et fonctionnelle, annotation de réseaux métaboliques)
   • savoir interpréter les résultats des outils d’annotation fonctionnelle
   • savoir faire des analyses comparatives variées : analyses de synténies conservées, pan-génomes, profils phylogénétiques et métaboliques.
   • apprendre à interpréter les résultats des outils de prédiction de réseaux métaboliques et à rechercher des gènes candidats pour des activités enzymatiques.
   • appliquer les outils enseignés à l’analyse de génomes d’intérêt pour les participants
Chaque session est composée pour moitié de théorie et pour moitié de travaux pratiques. Durant la formation, les participants ont la possibilité de travailler sur leurs propres données pendant les travaux pratiques.
Cette formation s'adresse plus particulièrement aux doctorants, ingénieurs, chercheurs, techniciens expérimentés de laboratoire biologiques ou médicaux.
Elle concerne aussi bien les personnes ayant déjà un projet d'annotation sur cette plate-forme et souhaitant approfondir son utilisation, qu'à celles souhaitant s'initier à la génomique microbienne.
En complément, si vous êtes utilisateur de la plate-forme MicroScope et que vous avez déjà suivi la formation 
""Annotation and analysis of prokaryotic genomes using the MicroScope platform"" il y a quelques années nous mettons en place une nouvelle formation,
la formation ""Plate-forme MicroScope - cours avancé"".
En effet, La plate-forme MicroScope étant en constante évolution, nous vous proposons de mettre à jour vos connaissances sur ses dernières évolutions et 
d'approfondir certaines de ses fonctionnalités majeures.
Cette formation permettra donc de consolider votre utilisation de la plate-forme mais également d'aller plus loin :
   • Présentation des évolutions de la plate-forme MicroScope
   • Présentation des nouvelles fonctionnalités phares de la plate-forme MicroScope 
   • Présentation des outils pour les analyses RNA-seq
   • Approfondissement des fonctionnalités permettant l’exploration du métabolisme bactérien
Elle aura lieu sur 2 jours à Evry du Lundi 4 Décembre 2017 au Mardi 5 Décembre 2017.
 

 

","Analyse de données de séquençage NGS, Méthodologie, Alignements de lectures sur des génomes, Génomique (DNA-seq), Analyse de génomes, Annotation structurale et fonctionnelle des génomes, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyse de variants, Génomes complets, Biologie des systèmes, Modélisation des réseaux métaboliques, Curation de collections de données, Développements technologiques de l‘Information et de la Communication, Outils, Intégration d'outils, Interopérabilité, Interfaces, portails web, Intégration de données, Gestion et transfert de données, Bases de données et systèmes d’informations, Génomique comparative, Comparaison des génomes, Comparaison des voies fonctionnelles et régulatrices, Métabolomique et fluxomique, Analyse des réseaux métaboliques","","25-09-2017 to 29-09-2017","Pour plus d'information et pour s'inscrire :https://www.genoscope.cns.fr/agc/microscope/training
Nos collaborateurs de l'Université d'Evry-Val d'Essonne en charge de l'organisation de la formation prendront ensuite contact avec vous afin de vous transmettre le devis, ainsi que la convention de formation.
","https://www.genoscope.cns.fr/agc/microscope/training","Evry","","","30/ an","","","","","","","3","Oui","","10 jours / an","Metagénomique"
"Formation universitaire",""," Formation universitaire","","analyses in silico de Genomes Procaryotes (master GENIOME Evry/Orsay/Versailles).
ingénierie Métabolique 'reconstruction des réseaux Métaboliques' (master MSSB Evry).
module de Génomique du master M2BI (Paris 7)
","","","","","","","","","50/ an","","","","","Master","","","Oui","","",""
"Linux",""," Formation professionnelle","","Formation Linux
","Développements technologiques de l‘Information et de la Communication","","","","http://migale.jouy.inra.fr/?q=fr/Formations-2016","-","","","6/ an","","","","","","","1","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Linux"
"Analyse primaire de données issues de  séquenceurs nouvelle génération sous Galaxy",""," Formation professionnelle","Connaître les concepts et méthodes bioinformatiques utilisés pour l’analyse primaire de données issues de  NGS.","
Objectifs

Connaître les concepts et méthodes bioinformatiques utilisés pour l’analyse primaire de données issues de NGS. Application aux outils de mapping et d’assemblage.
Programme
Théorie 
•Présentation des différents types de séquenceurs
•Les grandes familles d’algorithmes de mapping de lectures courtes d’assemblage et les outils associés
Pratique
Analyse des données de séquençage d’un génome bactérien
•Contrôle qualité
•Assemblage de-novo
oNettoyage des données
oAssemblage
oVisualisation et statistiques sur l’assemblage
•Comparaison à un génome de référence :
oMapping des lectures sur un génome proche
oVisualisation du mapping 
","Analyse de données de séquençage NGS","","14-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","Jouy en Josas","","","10/ an","","","","","","","1","Oui","","1 jours / an","Analyse des données NGS, Framework Galaxy"
"Traitement des données NGS sous Galaxy",""," Formation professionnelle","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","","20/ an","","","","","","","1","Oui","","2 jours / an","Analyse des données NGS, Framework Galaxy"
"Annotation de génomes microbiens",""," Formation professionnelle","","Modules en prépartion....
","Génomique (DNA-seq), Analyse de génomes, Annotation structurale et fonctionnelle des génomes","","15-05-2017 to 18-05-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","Jouy en Josas","","","7/ an","","","","","","","1","Oui","","3 jours / an","Metagénomique"
"Comparaisons de séquences protéiques",""," Formation professionnelle","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","","","","","","","","","","Non","","","Autre"
"Ensembl Biomart",""," Formation professionnelle","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","","","","","","","","","","Non","","","Autre"
"Initiation à la phylogénie",""," Formation professionnelle","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","","","","","","5/ an","","","","","","","1","Non","","2 jours / an","Phylogénie"
"Modélisation 3D des protéines",""," Formation professionnelle","Analyse  in silico de structures 3D de  protéines. Modélisation par homologie de protéines  homologues, sauvage et mutées...","
Objectifs

Connaître les bases de la modélisation moléculaire : modélisation par homologie, arrimage (docking) de ligands, mutations in silico. Une demi-journée dédiée à la modélisation de vos protéines d'intérêts.

Programme

- Visualiser : Connaître les bases de la visualisation des protéines en 3D avec PYmol.
- Comprendre : Analyse des structures 3D de protéines (RX ou RMN). Recherche d'homologues avec HHpred, I-Tasser, etc... Modélisation par homologie avec Modeller, Phyre2. Principes et applications.
- Prédire : Docking de ligands avec Autodock. Prédiction des mutations in silico. Principes et applications.
L'accent sera mis sur les points forts et les limites des différents outils et la pratique avec de nombreux ""hand- on tutorials""
Plus une session dédiée : «bring your own protein».
","Modélisation des interactions protéines/protéines, protéines/peptides et protéines/acides nucléiques","","23-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","Jouy en josas","","","7/ an","","","","","","","1","Oui","","2 jours / an","Autre"
"Initiation à Perl",""," Formation professionnelle","nitiation  à P erl","
Objectifs

Initiation à la programmation.
Identifier les possibilités offertes par l’écriture de quelques lignes de code.
Réalisation de tâches simples d’extraction et de reformatage d’informations issues de fichiers texte.
 

 
Programme

- Présentation de PERL
- Variables PERL
- Structures de contrôle
- Gestion de fichiers
- Réalisation de programmes simples
 
Illustration avec des exercices de manipulation de fichiers de séquences et de fichiers de résultats d’outils bioinformatiques. 
 
","Aucun des termes ci-dessus ne convient","","09-05-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","jouy en josas","","","","","","","","","","","Oui","","","Langages de Programmation & Computer Sciences, Langage Perl"
"Perl avancé",""," Formation professionnelle","Perl avancé","
Objectifs

Aller plus loin avec Perl afin d’être autonome pour des manipulations complexes visant à extraire et reformater des données issues de fichiers texte.

 
 
 
 
Programme

- Expressions régulières
- Fonctions
- Prise en main de Bioperl
 
 
Illustration avec des exercices de manipulation de fichiers de séquences et de fichiers de résultats d’outils bionformatiques.
 
","Aucun des termes ci-dessus ne convient","","11-05-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","jouy en josas","","","","","","","","","","","Oui","","","Langages de Programmation & Computer Sciences, Langage Perl"
"Initiation à R",""," Formation professionnelle","Initiation à R","
Objectifs

- Présenter le langage de programmation R et ses principes.
- Utiliser les principales fonctionnalités de ce langage pour effectuer des calculs mathématiques, statistiques ou des représentations graphiques.
- Attention : ce module n'est ni un module de statistique, ni un module d'analyse statistique des données.

Programme

- Structures et manipulation de données.
- Principaux éléments du langage de programmation (boucle, fonctions…).
- Différentes représentations graphiques de données/résultats (plot, histogramme, boxplot).
","Aucun des termes ci-dessus ne convient","","07-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","Jouy en Josas","","","6/ an","","","","","","","1","Oui","","2 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"Initiation à Python",""," Formation professionnelle","Initiation à Python","
Objectifs

Initiation à la programmation.
Réalisation de tâches simples d'extractions d'informations.
Identifier les possibilités offertes par l'écriture de quelques lignes de codes.
 

 
 
 
 
Programme

• Présentation de Python
• Variables Python
• Structures de contrôle
• Réalisation de programmes simples
• Gestion de fichiers
• Fonctions
Illustration avec des exercices de manipulation de fichiers de séquences
","Aucun des termes ci-dessus ne convient","","08-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","Jouy en josas","","","8/ an","","","","","","","1","Oui","","2 jours / an","Langages de Programmation & Computer Sciences, Langage Python"
"Python avancé",""," Formation professionnelle","Python avancé","
Objectifs

Etre autonome pour des manipulations simples visant à extraire, reformater des données issues de fichiers texte.
 

 
 
 
 
Programme

- Expressions régulières
- Gestion des erreurs
- Biopython
- Réalisation de programmes simples
","Aucun des termes ci-dessus ne convient","","10-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","jouy en josas","","","8/ an","","","","","","","1","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Langage Python"
"Fouille de texte",""," Formation professionnelle","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","http://migale.jouy.inra.fr/?q=fr/formations
","","","","","","","","","","","","","Non","","","Autre"
"Traitements bioinfo RNA-seq ",""," Formation professionnelle","Traitement bioinformatique des données RNA-Seq","
Objectifs

Connaitre les concepts et méthodes bioinformatiques utilisées pour l’analyse de données RNA-Seq eucaryote et procaryote.

 
Programme

Théorie
Bases biologiques des études d’expression
Séquençage NGS et RNA-Seq, présentation des différents types de séquenceurs
Méthodes d’alignements spécifiques au RNA-Seq
Reconstruction de transcrits
Assemblage de novo de transcriptomes
Quantification
 
Pratique
TP sur des données de type euraryote
Contrôle qualité
Nettoyage des données
Alignement sur un génome de référence et épissage
Visualisation de l’alignement
Découverte de nouveaux transcrits
Obtention d’un tableau de comptage
 
Lien avec d'autres modules 
L'analyse statistique des résultats du type d’analyses bioinformatiques effectuées dans ce module est traitée dans le module 16 [Stats & RNA-seq.
","Aucun des termes ci-dessus ne convient","","03-05-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","jouy en josas","","","","","","","","","","","Oui","","","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Analyse statistique RNA-seq sous Galaxy",""," Formation professionnelle","Analyse statistique de données RNA-Seq -Recherche des régions d'intérêt différentiellement exprimées (R, RStudio et Galaxy) - ","
Objectifs

Se sensibiliser aux concepts et méthodes statistiques pour l'analyse de données transcriptomiques de type RNA-Seq.
Comprendre le matériel et méthodes (normalisation et tests statistiques) d'un article
du domaine.
Comprendre les particularités liées à la nature des données.

 
 
Programme

Planification expérimentale des expériences RNA-Seq (identification des biais, répétitions, biais contrôlables).
Normalisation et analyse différentielle : recherche de ""régions d'intérêt"" différentiellement exprimées (modèle linéaire généralisé).
Prise en compte de la multiplicité des tests.
Le cours sera illustré par différents exemples et un jeu de données sera traité à l'aide du package R SARTools (basé sur les packages R DESeq2 et edgeR) dans les environnements Galaxy et RStudio.
","Aucun des termes ci-dessus ne convient","","16-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","jouy en josas","","","9/ an","","","","","","","1","Oui","","2 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Training to the GnpIS information system",""," Formation professionnelle","","Présentation détaillée de son Système d’informations GnpIS:
Utilisation des différents formulaires de requêtes (recherche globale ou spécifique de chaque module) Navigation dans le système au travers de cas d’utilisation mettant en évidence l’interopérabilité entre les différents modules.
","","","","Inscriptions  et renseignements : urgi-­contact@versailles.inra.fr
","","","","","20/ an","","","","","","","2","","","","Bioinformatique & Génomique végétale"
"REPET: detection and annotation of repeats",""," Formation professionnelle","","Formation sur site à l'URGI sur jeu de données réelles de la personne formée
Utilisation des 2 pipelines principaux (TEdenovo et TEannot) + post analyse des résultats  sous forme de tutorat individualisé.
","","","","Inscriptions  et renseignements : urgi-­contact@versailles.inra.fr
","","","","","2/ an","","","","","","","2","","","","Bioinformatique & Génomique végétale"
"Cluster job submission training",""," Formation professionnelle","","Formation sur site à l'URGI sur jeu de données réelles de la personne formée
Utilisation des 2 pipelines principaux (TEdenovo et TEannot) + post analyse des résultats  sous forme de tutorat individualisé.
","","","","Inscriptions  et renseignements : urgi-­contact@versailles.inra.fr
","","","","","6/ an","","","","","","","3","","","","Langages de Programmation & Computer Sciences, Autres langages"
"Clinique de la souris",""," Formation professionnelle","","Formation professionnelle CNRS : participation à une session générale de formation sur le modèle souris sous forme de 2 modules d’une heure : Les banques de données et outils actuels en phénotypage ; Aspects d’analyses statistiques de phénotypage.
","","","","","","","","","","","","","","","","","","","","Autre"
"Workshop, introduction to JalView editor",""," Formation professionnelle","","en collaboration avec le développer de Jalview
","","","","Accès ouvert avec inscription
","","","","","","","","","","","","","","","","Autre"
"Introduction to bioinformatics for 1st year Master in integrative Plant Biology, Strasbourg University",""," Formation universitaire","","Introduction à la bioinformatique pour les M1 du Master de Biologie Végétale intégrative à l’Université de Strasbourg
","","","","","","","","","40/ an","","","","","Master (M1 uniquement)","","","Oui","","",""
"Formation ABiMS",""," Formation professionnelle","","L'offre de formation repose sur des modules de formation d'initiation aux environnements (Linux, Cluster, etc.), d'utilisation des outils (Galaxy, etc.) et langages (PERL, R, etc.), et de compréhension des méthodes (RNA-seq, Analyses statistiques, etc.). ABiMS est également en mesure de proposer des formations à façon pour des communautés (e.g. Métabolomique) ou des projets (École thématique).
Universitaires.
 
Galaxy pour l'analyse de données métabolomique (1 jour)
Cluster (1 jour)
Linux Initiation (1 jour)
Linux avancé (1 jour)
Linux scripting (1 jour)
Galaxy initiation (1 jour)
Galaxy RNAseq de novo/avec référence & cleaning (2 jours)
Galaxy : initiation à la phylogénie (2 jours)
R initiation (1 jour)
R avancé (1 jour)
","","","","Ouvert à tous avec facturation
","","","","","261/ an","","","","","","","20","","","","Autre"
"RNASeq data analysis with Galaxy",""," Formation professionnelle","","
Objectifs :
•    Comprendre les principales étapes d’analyse des données RNASeq pour une étude d’expression différentielle
•    Savoir réaliser une analyse à l’aide du portail Galaxy
•    Evaluer la qualité des données brutes
•    Aligner un jeu de données sur un génome de référence
•    Identifier les gènes différentiellement exprimés
Alternance entre parties théoriques et parties pratiques sur Galaxy (30% - 70%).
Pre-requis : Avoir déjà utilisé le portail Galaxy ou Avoir suivi la demi-journée de présentation Galaxy qui précéde la formation RNASeq.

","Génomique : Puces, Biopuces ARN, Expression","","","Cette formation est accessible par la formation continue de l'INSERM.
","http://www.pf-bird.univ-nantes.fr/85361781/0/fiche___pagelibre/&RH=1357829686766","Inserm","DR Inserm Nantes","","10/ an","10","","2.50","Gratuite","","Formation Inserm","1","","","3 jours / an","Framework Galaxy, Autre"
"Initiation to the R language",""," Formation professionnelle","","OBJECTIFS :
* Acquérir les bases d’utilisation du langage R
* Expérimenter les principales fonctionnalités de R
* Etre autonome dans la manipulation de données
* Réaliser des analyses statistiques simples, construire des graphiques
* Apprendre à créer des fonctions
 
Pour plus d'informations...
","Aucun des termes ci-dessus ne convient","","06-06-2019","Cette formation est ouverte à tous (public et privé) sans restriction de tutelle.
","http://www.pf-bird.univ-nantes.fr/66223960/0/fiche___pagelibre/&RH=1353428537611","Université de Nantes","Université de Nantes","","20/ an","21","","1.00","Payante","","Formation continue de l'Université de Nantes","2","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"Bioinformatique : maîtrise des environnements et des langages informatiques",""," Formation professionnelle","","Dans le cadre de la formation permanente des formations sont proposées aux personnels des divers instituts. Les formations couvrent divers aspects allant de la méthodologie bioinformatique à la maîtrise des environnements et des langages informatiques.
Les formations dispensées sont les suivantes :
- Introduction bioinformatique
- Introduction au système Linux et à SGE
- Développement : Perl, Python
- Galaxy:  utilisation, intégration d'outils, workflows, analyse RADseq
- Environnement ISAtools
- Environnement HubZero
 
","","","","","","","","","100/ an","","","","","","","","","","15 jours / an","Langages de Programmation & Computer Sciences"
"Introduction Unix pour les biologistes",""," Formation professionnelle","","https://www.biosciencesco.fr/formations/bio-informatique/introduction-unix-pour-les-biologistes/
","","","","Inscription auprès de la société FC3-­‐Bio, aucun prérequis
","","Lyon","","","","","","2.00","Payante","","Biosciences&Co","","","","","Autre"
"Introduction à l'analyse de séquences nucléiques Du séquençage à l'annotation : aspects théoriques et pratiques",""," Formation universitaire","","https://www.biosciencesco.fr/formations/bio-informatique/introduction-a-lanalyse-de-sequences-nucleiques-du-sequencage-a-lannotation-aspects-theoriques-et-pratiques/
","","","","","","Lyon","","","20/ an","","","3.00","","","Biosciences&Co","","","","",""
"Introduction au logiciel R",""," Formation professionnelle","","

Objectifs de la formation
Acquérir les compétences nécessaires à l’utilisation du logiciel R
Connaître les principales analyses statistiques nécessaires en biologie et les utiliser sous R
Réaliser des graphiques sous R
Connaitre les bibliothèques R utiles en Biologie


","Biostatistiques, Statistique descriptive, Tests statistiques, Régression","","18-10-2017 to 20-10-2017","Informations et inscriptions:
http://www.biosciencesco.fr/formation-continue/bio-informatique/formation-au-logiciel-r/
 
","http://www.biosciencesco.fr/formation-continue/bio-informatique/formation-au-log...","","","","10/ an","","","","","","","","Oui","","3 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"Analyse de données RNA-seq sous l’environnement Galaxy ",""," Formation professionnelle","","

Objectifs de la formation
Acquérir les connaissances générales sur les méthodes de séquençage à haut-débit.
Connaître les caractéristiques des données obtenues dans le cadre de l’analyse du transcriptome (RNA-seq).
Savoir planifier une expérience simple de type RNA-seq en fonction de ses objectifs scientifiques et des caractéristiques et contraintes expérimentales.
Connaître les principales méthodes et outils d’analyse des données RNA-seq . Pouvoir les mettre en oeuvre dans un cas simple via un serveur web Galaxy.
Pouvoir visualiser les résultats dans un navigateur de génome.
Durée de la formation : 2,5 jours


","Analyse de données de séquençage NGS, Méthodologie, Assemblage de génomes et transcriptomes, Alignements de lectures sur des génomes, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants, Biostatistiques, Tests statistiques","","15-11-2017 to 17-11-2017","Informations et inscriptions:
http://www.biosciencesco.fr/formation-continue/bio-informatique/analyse-...
","http://www.biosciencesco.fr/formation-continue/bio-informatique/analyse-des-donn...","PRABI (Campus scientifique de la Doua, LYON-VILLEURBANNE)","","","12/ an","","","","","","","1","Oui","","","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Analyses bioinformatique et statistiques de données ChIP-seq sous Unix",""," Formation professionnelle","","","","","","Formations payantes
","","","","","10/ an","","","","","","","","","","","Analyse des données NGS"
"Introduction to molecular phylogeny",""," Formation professionnelle","","Training organized by CNRS Entreprises
","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes, Phylogénomique, Arbre de la vie","","","Some knowledge in mathematics and statistics.
","https://cnrsformation.cnrs.fr/stage-17008-Phylogenie-moleculaire-%28Lyon%29.html...","","","","8/ an","","","","","","","1","Oui","","4 jours / an","Phylogénie"
"Fc3-Bio",""," Formation professionnelle","","1 à 4 séances de deux jours par an
","Analyse de séquences, Algorithmique des séquences, Alignement (multiple) de séquences, Annotation de séquences, Recherche de motifs, Prédiction d'homologie/orthologie, Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux, Prédictions des propriétés structurales, Modélisation comparative et de novo de structures, Modifications post-traductionnelles, Analyse des propriétés dynamiques et thermodynamiques des structures, Criblage virtuel, Librairies de petits composés chimiques, 2D/3D, ADME/tox, Criblage basé sur la structure, Criblage basé sur le ligand (QSAR)","","","","http://www.fc3bio.fr/","","","","36/ an","","","","","","","","","","2 jours / an","Analyse des données NGS"
"TP de Modélisation moléculaire (QSAR, DOCKING)",""," Formation universitaire","","Faculté de pharmacie, L2
","","","","","","","","","230/ an","","","","","Licence","","","","","",""
"TP de bio-informatique",""," Formation universitaire","","
Alignement multiple de séquence, utilisation de BLAST, FASTA, et Geno3D.
Faculté de pharmacie, L3

","","","","","","","","","340/ an","","","","","Licence","","","","","",""
