"","Description","File to upload","Mots-clés","License","Link to events or trainings","Publication or broadcasting date","Target Audience","URL to file or support"
" Reconstructing genomes from metagenomes: The holy grail of microbiology","Shotgun metagenomics provides insights into a larger context of naturally occurring microbial genomes when short reads are assembled into contiguous DNA segments (contigs). Contigs are often orders of magnitude longer than individual sequences, offering improved annotations, and key information about the organization of genes in cognate genomes. Several factors affect the assembly performance, and the feasibility of the assembly-based approaches varies across environments. However, increasing read lengths, novel experimental approaches, advances in computational tools and resources, and improvements in assembly algorithms and pipelines render the assembly-based metagenomic workflow more and more accessible. The utility of metagenomic assembly remarkably increases when contigs are organized into metagenome-assembled genomes (MAGs). Often-novel MAGs frequently provide deeper insights into bacterial lifestyles that would otherwise remain unknown as evidenced by recent discoveries. The increasing rate of the recovery of MAGs presents new opportunities to link environmental distribution patterns of microbial populations and their functional potential, and transforms the field of microbiology by providing a more complete understanding of the microbial life, ecology, and evolution.
","","metagenomics","CC BY-NC-ND","","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Prokaryotic Phylogeny on the Fly: databases and tools for online taxonomic identification","PPF (Prokaryotic Phylogeny on the Fly) is an automated pipeline allowing to compute molecular phylogenies for prokarotic organisms. It is based on a set of specialized databases devoted to SSU rRNA, the most commonly used marker for bacterial txonomic identification. Those databases are splitted into different subsets using phylogenetic information.   The procedure for computing a phylogeny is completely automated. Homologous sequence are first recruited through a BLAST search performed on a sequence (or a set of sequences). Then the homologous sequences detected are aligned using one of the multiple sequence alignment programs provided in the pipeline (MAFFT, MUSCLE or CLUSTALO). The alignment is then filtered using BMGE and a Maximum Likelihood (ML) tree is computed using the program FastTree. The tree can be rooted with an outgroup provided by the user and its leaves are coloured with a scheme related to the taxonomy of the sequences.  The main advantage provided by PPF is that its databases are generated using a phylogeny-oriented procedure and and therefore much more efficient for phylogentic analyses that ""generic"" collections such as SILVA (in the case SSU rRNA) por GenBank. It is therefore much more suited to compute prokaryotic molecular phylogenies than related systems such as the Phylogeny.fr online system.  PPF can be accessed online at https://umr5558-bibiserv.univ-lyon1.fr/lebibi/PPF-in.cgi
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Dr Jekyll and Mr Hyde: The dual face of metagenomics in phylogenetic analysis","The aim of this lecture is to present the impact of metagenomics and single-cell genomics on public databases. These new powerful approches allow us to have access to the diversity of life on our planet. However, care has to be taken when using these data for posterior analyses, such as phylogenetic studies, as critical errors can still be present in the databases. This course will incorporate examples taken from real studies, and we will investigate methods used for error detection.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Soil metagenomics, potential and pitfalls","The soil microorganisms are responsible for a range of critical functions including those that directly affect our quality of life (e.g., antibiotic production and resistance – human and animal health, nitrogen fixation -agriculture, pollutant degradation – environmental bioremediation). Nevertheless, genome structure information has been restricted by a large extent to a small fraction of cultivated species. This limitation can be circumvented now by modern alternative approaches including metagenomics or single cell genomics.  Metagenomics includes the data treatment of DNA sequences from many members of the microbial community, in order to either extract a specific microorganism’s genome sequence or to evaluate the community function based on the relative quantities of different gene families. In my talk I will show how these metagenomic datasets can be used to estimate and compare the functional potential of microbial communities from various environments with a special focus on antibiotic resistance genes. However, metagenomic datasets can also in some cases be partially assembled into longer sequences representing microbial genetic structures for trying to correlate different functions to their co-location on the same genetic structure. I will show how the microbial community composition of a natural grassland soil characterized by extremely high microbial diversity could be managed for sequentially attempt to reconstruct some bacterial genomes.
Metagenomics can also be used to exploit the genetic potential of environmental microorganisms. I will present an integrative approach coupling rrs phylochip and high throughput shotgun sequencing to investigate the shift in bacterial community structure and functions after incubation with chitin. In a second step, these functions of potential industrial interest can be discovered by using hybridization of soil metagenomic DNA clones spotted on high density membranes by a mix of oligonucleotide probes designed to target genes encoding for these enzymes. After affiliation of the positive hybridizing spots to the corresponding clones in the metagenomic library the inserts are sequenced, DNA assembled and annotated leading to identify new coding DNA sequences related to genes of interest with a good coverage but a low similarity against closest hits in the databases confirming novelty of the detected and cloned genes.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Multiple Comparative Metagenomics using Multiset k-mer Counting","Large scale metagenomic projects aim to extract biodiversity knowledge between different environmental conditions. Current methods for comparing microbial communities face important limitations. Those based on taxonomical or functional assignation rely on a small subset of the sequences that can be associated to known organisms. On the other hand, de novo methods, that compare the whole set of sequences, do not scale up on ambitious metagenomic projects.
These limitations motivated the development of a new de novo metagenomic comparative method, called Simka. This method computes a large collection of standard ecology distances by replacing species counts by k-mer counts. Simka scales-up today metagenomic projects thanks to a new parallel k-mer counting strategy on multiple datasets.
Experiments on public Human Microbiome Project datasets demonstrate that Simka captures the essential underlying biological structure. Simka was able to compute in a few hours both qualitative and quantitative ecology distances on hundreds of metagenomic samples (690 samples, 32 billions of reads). We also demonstrate that analyzing metagenomes at the k-mer level is highly correlated with extremely precise de novo comparison techniques which rely on all-versus-all sequences alignment strategy.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Assessing microbial biogeography by using a metagenomic approach","Soils are highly complex ecosystems and are considered as one of the Earth’s main reservoirs of biological diversity. Bacteria account for a major part of this biodiversity, and it is now clear that such microorganisms have a key role in soil functioning processes. However, environmental factors regulating the diversity of below-ground bacteria still need to be investigated, which limits our understanding of the distribution of such bacteria at various spatial scales. The overall objectives of this study were: (i) to determine the spatial patterning of bacterial community diversity in soils at a broad scale, and (ii) to rank the environmental filters most influencing this distribution.
This study was performed at the scale of the France by using the French Soil Quality Monitoring Network. This network includes more than 2,200 soil samples along a systematic grid sampling. For each soil, bacterial diversity was characterized using a pyrosequencing approach targeting the 16S rRNA genes directly amplified from soil DNA, obtaining more than 18 million of high-quality sequences.
This study provides the first estimates of microbial diversity at the scale of France, with for example, bacterial richness ranging from 555 to 2,007 OTUs (on average: 1,289 OTUs). It also provides the first extensive map of bacterial diversity, as well as of major bacterial taxa, revealing a bacterial heterogeneous and spatially structured distribution at the scale of France. The main factors driving bacterial community distribution are the soil physico-chemical properties (pH, texture...) and land use (forest, grassland, crop system...), evidencing that bacterial spatial distribution at a broad scale depends on local filters such as soil characteristics and land use when regarding the community (quality, composition) as a whole. Moreover, this study also offers a better evaluation of the impact of land uses on soil microbial diversity and taxa, with consequences in terms of sustainability for agricultural systems.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Sequencing 6000 chloroplast genomes : the PhyloAlps project","Biodiversity is now commonly described by DNA based approches. Several actors are currently using DNA to describe biodiversity, and most of the time they use different genetic markers that is hampering an easy sharing of the accumulated knowledges. Taxonomists rely a lot on the DNA Barcoding initiative, phylogeneticists often prefer markers with better phylogenic properties, and ecologists, with the coming of the DNA metabarcoding, look for a third class of markers easiest to amplify from environmental DNA. Nevertheless they have all the same need of the knowledge accumulated by the others. But having different markers means that the sequecences have been got from different individuals in differente lab, following various protocoles. On that base, building a clean reference database, merging for each species all the available markers becomes a challenge. With the phyloAlps project we implement genome skimming at a large  scale and propose it as a new way to set up such universal reference database usable by taxonomists, phylogeneticists, and ecologists. The Phyloalps project is producing for each species of the Alpine flora at least a genome skim composed of six millions of 100bp sequence reads. From such data it is simple to extract all chloroplastic, mitochondrial and nuclear rDNA markers commonely used. Moreover, most of the time we can get access to the complete chloroplast genome sequence and to a shallow sequencing of many nuclear genes. This methodes have already been successfully applied to algeae, insects and others animals. With the new single cell sequencing methods it will be applicable to most of the unicellular organisms. The good question is now : Can we consider the genome skimming as the next-generation DNA barcode ?
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Rationale and Tools to look for the unknown in (metagenomic) sequence data","The interpretation of metagenomic data (environmental, microbiome, etc, ...) usually involves the recognition of sequence similarity with previously identified (micro-organisms). This is for instance the main approach to taxonomical assignments and a starting point to most diversity analyses. When exploring beyond the frontier of known biology, one should expect a large proportion of environmental sequences not exhibiting any significant similarity with known organisms. Notably, this is the case for eukaryotic viruses belonging to new families, for which the proportion of ""no match"" could reach 90%. Most metagenomics studies tend to ignore this large fraction of sequences that might be the equivalent of ""black matter"" in Biology. We will present some of the ideas and tools we are using to extract that information from large metagenomics data sets in search of truly unknown microorganisms.
One of the tools, ""Seqtinizer"", an interactive contig selection/inspection interface will also be presented in the context of ""pseudo-metagenomic"" projects, where the main organism under genomic study (such as sponges or corals) turns out to be (highly) mixed with an unexpected population of food, passing-by, or symbiotic microorganisms.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Who is doing what on the cheese surface? Overview of the cheese microbial ecosystem functioning by metatranscriptomic analyses","Cheese ripening is a complex biochemical process driven by microbial communities composed of both eukaryotes and prokaryotes. Surface-ripened cheeses are widely consumed all over the world and are appreciated for their characteristic flavor. Microbial community composition has been studied for a long time on surface-ripened cheeses, but only limited knowledge has been acquired about its in situ metabolic activities. We used an iterative sensory procedure to select a simplified microbial consortium, composed of only nine species (three yeasts and six bacteria), producing the odor of Livarot-type cheese when inoculated in a sterile cheese curd. All the genomes were sequenced in order to determine the functional capacities of the different species and facilitate RNA-Seq data analyses. We followed the ripening process of experimental cheeses made using this consortium during four weeks, by metatranscriptomic and biochemical analyses. By combining all of the data, we were able to obtain an overview of the cheese maturation process and to better understand the metabolic activities of the different community members and their possible interactions. We next applied the same approach to investigate the activity of the microorganisms in real cheeses, namely Reblochon-style cheeses. This provided useful insights into the physiological changes that occur during cheese ripening, such as changes in energy substrates, anabolic reactions, or stresses.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","15-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Exploiting collisions between DNA molecules to characterize the genomic structures of complex communities","Meta3C is an experimental and computational approach that exploits the physical contacts experienced by DNA molecules sharing the same cellular compartments. These collisions provide a quantitative information that allows interpreting and phasing the genomes present within complex mixes of species without prior knowledge. Not only the exploitation of chromosome physical 3D signatures hold interesting premises regarding solving the genome sequences from discrete species, but it also allows assigning mobile elements such as plasmids or phages to their hosts.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","15-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Gut metagenomics in cardiometabolic diseases","Cardio-metabolic and Nutrition-related diseases (CMDs) represent an enormous burden for health care. They are characterized by very heterogeneous phenotypes progressing with time. It is virtually impossible to predict who will or will not develop cardiovascular comorbidities. There is a clear need to intervene earlier in the natural cycle of the disease, before irreversible tissue damages develop. Predictive tools still remain elusive and environmental factors (food, nutrition, physical activity and psychosocial factors) play major roles in the development of these interrelated pathologies. Poor nutritional environment and lifestyle also promote health deterioration resulting in CMD progression. In the last few years, the characterization of the gut microbiome (i.e. collective bacteria genome) and gut-derived molecules (i.e. metabolites, lipids, inflammatory molecules) has opened up new avenues for the generation of fundamental knowledge regarding putative shared pathways in CMD. The gut microbiome is likely to have an even greater impact than genetic factors given its close relationship with environmental factors. In metabolic disorders, the discoveries that low bacterial gene richness associates with cardiovascular risks stimulate encourage these developments. Due to the complexity of the gut microbiome, and its interactions with human (host) metabolism as well as with the immune system, it is only through integrative analyses where metabolic network models are used as scaffold for analysis that it will be possible to identify markers and shared pathways, which will contribute to improve patient stratification and develop new modes of patient care.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","15-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Deciphering the human intestinal tract microbiome using metagenomic computational methods","In 2010, the MetaHIT consortium published a 3.3M microbiota gene catalog generated by whole genome shotgun metagenomic sequencing, representing a mixture of bacteria, archaea, parasites and viruses coming from 124 human stool metagenomic samples [Qin et al, Nature 2010].
However most of the genes were fragmented, taxonomically and functionally unknown, making it difficult to define and select biomarkers of interest for genome-wide association studies.
Since that, this human gene catalog was improved multiple times, with the last update by [Li et al, Nature Biotechnology, 2014], which generated a 10M gene catalog using more than 1000 metagenomic samples and including some prevalent human microbe genome available at that time. Along with the catalog update, the scientific community developed new tools to challenge the complexity of this dataset and provided new ways to assemble, annotate, quantify and classify the genes coming from these catalogs.
In this talk we will discuss the main approaches related to the computational treatment of the different gene catalog other the time, illustrated by the different papers that deciphered step by step the hidden information of our microbiota and his link with our health.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","15-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"From Samples to Data : Assuring Downstream Analysis with Upstream Planning","Metagenomic studies have gained increasing popularity in the years since the introduction of next generation sequencing. NGS allows for the production of millions of reads for each sample without the intermediate step of cloning. However, just as in the past, the quality of the data generate by this powerful technology depends on sample preparation, library construction and the selection of appropriate sequencing technology and sequencing depth. Here we explore the different variables involved in the process of preparing samples for sequencing analysis including sample collection, DNA extraction and library construction. We also examine the various sequencing technologies deployed for routine metagenomic analysis and considerations for their use in different model systems including humans, mouse and the environment. Future developments such as long-reads will also be discussed to provide a complete picture of important aspects prior to data analyses which play a critical role in the success of metagenomic studies.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Welcome message","Presentation of the workshop (Chairman: Claudine Médigue)
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","15-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Docker Tutorial","Docker is free software that automates the deployment of applications in software containers executant in isolation. A Docker container, away from traditional virtual machines, requires no separate operating system and not providing any but relies instead on the core functionality and uses the isolation of resources and namespaces separated to isolate the operating system as seen by the application.
","","Docker","","","","","http://bioserv.rpbs.univ-paris-diderot.fr/tutorials.html"
"A Simple Phylogenetic Tree Construction (part 2)","Understand the method used in identifying an unknown sequence.
Understand the limitations of this method
Get to grips with various software (CLUSTALw, SeaView, Phylo_win and Njplot)
","","Phylogenetics","","","","","http://www.prabi.fr/spip.php?article60"
"A Simple Phylogenetic Tree Construction (part 1)","Understand the method behind constructing a phylogenetic tree from the search for sequences to the analysis of the tree.
Get to grips with various bio-informatic software (BLAST, CLUSTALw, SeaView and Phylo_win).
","","Phylogenetics","","","","","http://www.prabi.fr/spip.php?article59"
"HOVERGEN tutorial","HOVERGEN is a database containing homologous vertebrate protein and nucleotide sequences. It allows to easily select similar gene sequences from a wide range of vertebrates. Hence it becomes particularly useful in comparative genomics, phylogeny and evolutionary studies on a molecular level. HOVERGEN Clean contains only complete sequences which reattach to their family. Hence its library is smaller, but more reliable.
","","proteomics, genomics","","","","","http://www.prabi.fr/spip.php?article58"
"Cross Taxa Tutorial","How query databases according to complex taxonomic critera
Cross-Taxa allows to retrieve gene families that are shared by a given set of taxa, or which are specific to a set of taxa. It is also possible to select genes families which are associated to a certain set of taxa but which are not found in a second set of taxa. Any taxonomic level can be used.
","","genomics","","","","","http://www.prabi.fr/spip.php?article41"
"Searching for sequence: Tutorial","Quick Search is dedicated to a quick search for sequences or sequence families in the databases available on the PBIL server. It is an alternative to WWW Query which allows more complex queries. Quick Search allows you to retrieve sequences or sequence families associated to a single word without specifying what is this word. You can enter indifferently a keyword, a sequence name or accession number, or a taxa name.
","","genomics, pattern recognition","","","","","http://www.prabi.fr/spip.php?article17"
"Exercices on Galaxy: metagenomics","Find Rapidly OTU with Galaxy Solution
","","Metagenomics, Galaxy","","Metagenomics: amplicon analysis under Galaxy","01-04-2016","","http://genoweb.toulouse.inra.fr/~formation/15_FROGS/April2016/FROGS_april_2016_P..."
"Training on Galaxy : Metagenomics","Find Rapidly OTU with Galaxy Solution
","","Metagenomics, Galaxy","","Metagenomics: amplicon analysis under Galaxy","01-04-2016","","http://genoweb.toulouse.inra.fr/~formation/15_FROGS/April2016/FROGS_april_2016_F..."
"Analysis of community composition data using phyloseq","Learn about and become familiar with phyloseq R package for the analysis of microbial census data
","","Microbiomes, R","","Metagenomics: amplicon analysis under Galaxy","01-04-2016","","http://genoweb.toulouse.inra.fr/~formation/15_FROGS/April2016/R_phyloseq/phylose..."
"A Quick and focused overview of R data types and ggplot2 syntax","R and RStudio overview.
","","R, Statistics, Graphical analysis","","Metagenomics: amplicon analysis under Galaxy","01-04-2016","","http://genoweb.toulouse.inra.fr/~formation/15_FROGS/April2016/R_phyloseq/ModuleI..."
" PASTEClassifier Tutorial","The PASTEClassifier (Pseudo Agent System for Transposable Elements Classification) is a transposable element (TE) classifier searching for structural features and similarity to classify TEs (  Hoede C. et al. 2014 )
","","Transposons, Genomics","CeCILL","","","","https://urgi.versailles.inra.fr/Tools/PASTEClassifier/PASTEClassifier-tuto"
"REPET: TEdannot Tutorial","TEannot is able to annote a genome using DNA sequences library. This library can be a predicted TE library built by TEdenovo
","","Annotation, Genomics","CeCILL","","","","https://urgi.versailles.inra.fr/Tools/REPET/TEannot-tuto"
"REPET: TEdenovo tutorial","The TEdenovo pipeline follows a philosophy in three first steps:
Detection of repeated sequences (potential TE)
Clustering of these sequences
Generation of consensus sequences for each cluster, representing the ancestral TE
","","Annotation, Genomics","CeCILL","","","","https://urgi.versailles.inra.fr/Tools/REPET/TEdenovo-tuto"
"RGP finder: prediction of Genomic Islands  ","Prediction of Region of Genomic Plasticity (RGPs) and CoDing Sequences (CDSs) and visualization
"," Cours_MicroScope_mars2016_RGP.pdf","Data visualization, Genomics, CDS, RGP","","","01-03-2016","",""
"NGS data exploration with the MicroScope Platform","Exploring data annotation on the genomics and transcriptomics levels with the MicroScope Platform and its tools
"," Cours_MicroScope_mars2016_126-136.pdf","NGS, SNP, RNA-seq, Genomics, Transcriptomics","","","01-03-2016","",""
"Exploring microbiomes with the MicroScope Platform","This module is separated in different courses:
MicroScope: General overview, Keyword search and gene cart functionalities












Functional annotation of microbial genomes








Functional annotation of microbial genomes: Prediction of enzymatic functions








Relational annotation of bacterial genomes: synteny








Automatic functional assignation and expert annotation of genes








Relational annotation of bacterial genomes: phylogenetic profiles








Relational annotation of bacterial genomes: pan-genome analysis








Relational annotation of bacterial genomes: metabolic pathways




Syntactic re-annotation of public microbial genomes




Syntactic annotation of microbial genomes




 
","","Annotation, Genomics, Transcriptomics, Metabolomics, Microbial evolution","","","01-03-2016","","http://www.france-bioinformatique.fr/sites/default/files/Cours_MicroScope_mars20..."
"Exploring Microscope Platform","How to use the Microscope Platform to annotate and analyze microbial genomes.
","","Annotation, Genomics, Sequence analysis, Microbial evolution, Metabolomics, Transcriptomics","","","01-03-2016","","http://www.france-bioinformatique.fr/sites/default/files/Cours_MicroScope_mars20..."
"Genomic copy number Tutorial","We will analyze the copy number variations of a human tumor (parotid gland carcinoma), limited to the chr17, from a WES (whole-exome sequencing) experiment. All genomic coordinates correspond to the 2009 build of the reference human genome (hg19 / GRC37).
","","Structural genomics, Copy number","","Ecole NGS Aviesan Roscoff","","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"Genomic copy number Analysis","No description available
","","Structural genomics, Copy number","","Ecole NGS Aviesan Roscoff","10-09-2015","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"RNA-Seq: isoform detection and quantification","transcriptome from new condition
tissue-speci c transcriptome
different development stages
transcriptome from non model organism
cancer cell
RNA maturation mutant
 
How to manage RNA-Seq data with genes subjected to di erential
splicing?
Is it possible to discover new isoforms?
Is it possible to quantify abundance of each isoform
","","RNA-seq, Transcriptomics, Isoforms","","Ecole NGS Aviesan Roscoff","","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"RNA-Seq: Differential Expression Analysis","Be careful about experimental design : avoid putting all the
replicates in the same lane, using the same barcode for the
replicates, putting different number of samples in lanes etc...
Non- uniformity of the per base read distribution (Illumina Random
Hexamer Priming bias visible on the 13 first bases)
Bias hierarchy : biological condition >> concentration > run/flowcell> lane
At equivalent expression level, a long gene will have more reads than a short one.
Non random coverage along the transcript.
Multiple hit for some reads alignments.
","","RNA-seq, transcriptomics, Differential Expression","","Ecole NGS Aviesan Roscoff","","","https://www.france-bioinformatique.fr/sites/default/files/EBA/V4-2015/RNAseq/bil..."
"Variant Filtering","Use cases:
Extact a subset of variants
Combine variants from several analysis

Compare obtained variants from several data types


Identify new variants compare to a reference list


Apply specific filters for Chip Design

","","Variant calling, NGS","","Ecole NGS Aviesan Roscoff","","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"DNA-seq analysis: From raw reads to processed alignments","Objectives:
Mapping the DNA-seq data to the reference genome
Process the alignments for the variant calling
","","DNA-seq, Genomics, Alignment, Variant calling","","Ecole NGS Aviesan Roscoff","","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"Chip-seq: Discovering motifs in peaks with RSAT","Read mapping: from raw reads to aligned reads.
Peak calling: from aligned reads to regions/peaks of high read density.
ChIP-seq annotation
Identification of genes related to the peaks.
Profiles of ChIP-seq reads around reference points (TSS, histone marks,).
Functional enrichment of the genes related to the peaks.

","","Chip Seq, NGS, Motif Analysis","","Ecole NGS Aviesan Roscoff","","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"Chip-seq: Motif Analysis Tutorial","Introduction
Goal
The aim is to :
Get familiar with motif analysis of ChIP-seq data.
Learn de novo motif discovery methods.
In practice :
Motif discovery with peak-motifs
Differential analysis
Random controls
","","NGS, Chip-seq, Pattern recognition, Motif analysis","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/tutorial/04_motif/motif_tutorial.htm..."
"Chip Seq: Annotation and visualization Tutorial","Global Objective
Given a set of ChIP-seq peaks annotate them in order to find associated genes, genomic categories and functional terms.
","","NGS, Chip-seq, Annotation, Data Visualization","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/tutorial/02_annotation/annotation.ht..."
"Chip Seq: Annotation and visualization Lesson","How to add biological meaning to peaks
","","Chip-seq, NGS, Annotation, Data Visualization","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/slides/ChIP-seq_annotation_MD_2015.p..."
"Chip-seq: Pattern Analysis tutorial","Goal
The aim is to :
Get familiar with motif analysis of ChIP-seq data.
Learn de novo motif discovery methods.
In practice :
Motif discovery with peak-motifs
Differential analysis
Random controls
","","Chip-seq, NGS, Pattern recognition","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/tutorial/04_motif/motif_tutorial.htm..."
"Chip-seq: Functional Annotation tutorial","Global Objective
Given a set of ChIP-seq peaks annotate them in order to find associated genes, genomic categories and functional terms.
","","Chip-seq, NGS, Functional Annotation","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/tutorial/02_annotation/annotation.ht..."
"Chip-seq: Peak calling tutorial","The aim is to :
Understand how to process reads to obtain peaks (peak-calling).
Become familiar with differential analysis of peaks
In practice :
Obtain dataset from GEO
Analyze mapped reads
Obtain set(s) of peaks, handle replicates
Differential analysis of peak
","","Peak calling, NGS, Chip-seq","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/tutorial/01_peak_calling/peak_callin..."
"Chip-seq: Introduction to the Workshop","Data visualization, quality control, normalization & peak calling
Peak annotation
From peaks to motifs
","","Chip-Seq","","Ecole NGS Aviesan Roscoff","","","http://dputhier.github.io/EBA_2015_ChIP-Seq/slides/chipseq_CarlHerrmann_Roscoff2..."
"Visualization of NGS data with IGV","Visualisation of next-gen sequencing data with Integrative Genomics Viewer
","","NGS, Genomics, Data visualization","","Ecole NGS Aviesan Roscoff","","","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"Initiation to Galaxy","DNA-sequence analysis: from raw reads to variants calling within the galaxy environement.
","","DNA Analysis, Galaxy, Variant calling","","Ecole NGS Aviesan Roscoff","","All Audiences","http://ecole-bioinfo-aviesan.sb-roscoff.fr/sites/ecole-bioinfo-aviesan.sb-roscof..."
"The IFB cloud for bioinformatics","
	Practical work to introduce basic and advanced usage of the IFB cloud
Howto launch virtual machines
Managing your data in the cloud ;
Howto to connect to your VMS (SSH, web, remote desktop)
Personalizing your VMs (approver, galaxy, docker)

","","Virtual machine, Cloud computing","","Train-the-trainer workshop","01-06-2016","All audience","https://github.com/ekorpela/cloud-vm-workshop/blob/master/materials/IFBcloud/IFB..."
"Docker tutorial: Gene regulation","Get started with Docker!
Create a Docker account
Install Docker on your local host
Create shared repositories and download source data
Fetch the Docker image and run it with shared folders
Execute the pipeline

JVH / Mac
","","Docker, Gene regulation","","","31-05-2016","","https://github.com/rioualen/gene-regulation/blob/master/doc/gene-regulation_tuto..."
"IFB Cloud tutorial: Gene regulation","1. Using the Gene-regulation appliance
1.1 Requirements
1.2 Virtual disk creation
1.3 Creation of an instance
1.4 Connection to the device
1.5 Download source data
1.6 Execute workflow

2. Visualizing results
2.1 Install and run the X2Go client on your host computer
2.2 Visualize results
FastQC
IGV


3. Create your own Gene-regulation appliance
Creation of an instance
Installing programs and dependencies
Get the gene-regulation repository
Run makefile to install the dependencies

","","Gene Regulation, Cloud Computing","","","31-05-2016","","https://github.com/rioualen/gene-regulation/blob/master/doc/gene-regulation_tuto..."
"Snakemake tutorial: Gene regulation","Workflow 1: Rules and targets
Workflow 2: Introducing wildcards
Workflow 3: Keywords
Workflow 4: Combining rules
Workflow 5: Configuration file
Workflow 6: Separated files
","","Gene regulation, Snakemake","","","13-04-2016","","http://gene-regulation.readthedocs.io/en/latest/snakemake.html"
