"Nom de la plateforme","Domaines d'activité","Description des expertises","Mots clés"
"MIGALE","Agro-alimentaire
Environnement
Biologie
","



La plate-forme MIGALE a une interaction privilégiée avec l’équipe StatInfOmics de l ‘unité MaIAGE à qui elle fournit un support logistique important. Les compétences de cette équipe sont les statistiques appliquées à l’analyse des données « omiques », et la bioinformatique au sens large, concernant en particulier :
 
la structure des génomes :
traitement et analyse des données NGS
l’annotation structurale et fonctionnelle de génomes complets,
la recherche de motifs dans les séquences ou les réseaux
la transcriptomique :
l’annotation structurale des ANR messagers
l’analyse des régulations
la structure et fonction des protéines :
classification et analyse des structures 3D des protéines
modélisation de la structure 3D des protéines
analyse des relations structure 3D – fonction des protéines
la génomique évolutive
comparaison de génomes microbiens
étude des processus évolutifs
Les autres équipes de l’unité ont des compétences :
en biologie des systèmes
biologie des systèmes pour les procaryotes (B. subtilis)
modélisation et analyse de réseaux de régulation biologique
en extraction de connaissances à partir de textes scientifiques appliquée
à la modélisation des réseaux de régulation génique et du métabolisme,
à la relation génotype-phénotype,
aux phénotypes multi-espèce et à l’adaptation à l’environnement.



","Analyse de données de séquençage NGS
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Analyse différentielle de l’expression des gènes
Analyse de variants
Génomes complets
Métagénomique, métatranscriptomique
Analyse de séquences
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Outils
Intégration d'outils
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Cluster
Ecologie microbienne
Génomique comparative
Protéomique
Analyse de second niveau
"
"DBC","Biomédical
Biologie
","","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Génomique (DNA-seq)
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Panels (amplicons, captures)
Exomes
Génomes complets
Analyse de la régulation de l’expression des gènes
Chip-seq
Petits et longs ARN non-codants
Profils de méthylation
Accessibilité de la chromatine
Analyse de la conformation des chromosomes
Métagénomique, métatranscriptomique
Analyse de séquences
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Apprentissage automatique
Bioimagerie
Analyse d’images
Extraction d’informations
Quantification
Visualisation
Bioinformatique structurale
Biologie des systèmes
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Inférence et analyse des réseaux biologiques
Statistique génétique
Cartographie
Localisation de QTL
Intégration d'outils
Interopérabilité
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Environnements de calcul
Cluster
GPU
Parallélisation
E-learning
Evolution et phylogénie
Evolution moléculaire
Phylogénomique
Super-arbres et réconciliations
Détection de sélection
Génomique comparative
Comparaison des génomes
Comparaison des voies fonctionnelles et régulatrices
Génomique : Puces
Biopuces ADN
Biopuces ARN
Expression
Tiling
Analyse des réseaux métaboliques
Protéomique
Protéomique quantitative
Analyse différentielle statistique
"
"RPBS","Biologie
Informatique
Biomédical
","Bioinformatique Structurale : analyse et modélisation de la structure et de la fonction des protéines, des peptides. Complexes protéiques, peptide-protéine. Criblage in silico.
Modélisation comparative de la structure des protéines
Recherche de similitudes structurales
Modélisation de la structure de complexes protéiques
Modélisation de novo de la structure des peptides
Criblage in silico (structure-based)
Impact structural de mutations ponctuelles
","Bioinformatique structurale
Analyse des structures, recherche d'homologues et de motifs structuraux
Prédictions des propriétés structurales
Modélisation comparative et de novo de structures
Modélisation des interactions protéines/protéines, protéines/peptides et protéines/acides nucléiques
Analyse des propriétés dynamiques et thermodynamiques des structures
Criblage virtuel
Librairies de petits composés chimiques, 2D/3D, ADME/tox
Criblage basé sur la structure
"
"MBI","Biomédical
Biologie
","



Plateforme expérimentale de recherche dépendant de Inria Nancy Grand-Est, la plateforme MBI s’est constituée autour de deux domaines principaux d’expertise.
1. La modélisation 3D des protéines et de leurs interactions, avec en particulier la simulation de dynamiques moléculaires (logiciel NAMD), et la mise à disposition de programmes ultra-rapides de docking rigide et de comparaison de formes, exécutés sur des clusters mixtes (CPU et GPU).
2. L’extraction de connaissances à partir de données biologiques ou biomédicales, avec en particulier la mise en œuvre de méthodes de fouille de données symboliques et/ou relationnelles, en utilisant une suite logicielle construite dans l’équipe Orpailleur autour de la recherche de motifs fréquents et de l’analyse formelle de concept (suite CORON), ainsi que des workflows d’apprentissage (à partir de la plateforme KNIME).



","Bioinformatique structurale
Modélisation des interactions protéines/protéines, protéines/peptides et protéines/acides nucléiques
"
"BIstrO","Biomédical
Agro-alimentaire
Environnement
Biotechnologie
Biologie
","



• Biologie Végétale Intégrative (silencing, épigénétique, intéractions hôtes pathogènes, cycle cellulaire, …)
• Maladies génétiques rares (ciliopathies, rétinopathies, myopathies, …)
• Génomique structurale, fonctionnelle, comparative
• Protéomique haut-débit et Protéomique structurale
• Développement de méthodes quantitatives basées sur la spectrométrie de masse et leur application à des systèmes biologiques
• ARN non-codantes : architecture, mécanismes d'évolution, et rôles dans la pathogénicité
• L'étude des micro-organismes adaptés à des conditions environnementales extrêmes
• Recherche transdisciplinaire à l'interface de la biologie, la biochimie, la physique et la médecine
 
La plateforme BISTRO regroupe plusieurs plateformes/services bioinformatiques dans différents Instituts de recherche à Strasbourg :
 
Génétique Moléculaire, Génomique Microbiologie (GMGM)
L'étude des micro-organismes adaptés à des conditions environnementales extrêmes peuvent révéler des capacités microbiennes insoupçonnées. Leur compréhension, y compris les fonctions métaboliques et la formation de biofilm impliqués dans l'adaptation à des conditions particulières est un objectif majeur de la microbiologie environnementale. Nous étudions ces mécanismes d'adaptation microbienne dans les écosystèmes contaminés par des éléments toxiques à 3 niveaux : (i) l'isolement de nouvelles souches et la caractérisation de leurs propriétés métaboliques, (ii) l'étude de la réponse adaptative aux métaux toxiques dans des conditions de laboratoire, (iii) l'étude d'environnements contaminés pour comprendre le fonctionnement des communautés microbiennes in situ.
 
Institut de Biologie Moléculaire et Cellulaire (IBMC)
L’équipe « évolution des ARN non-codants chez les levures » s'intéresse au rôle et à l'évolution des ARNnc dans les mécanismes biologiques. De tels ARN étaient connus depuis longtemps, mais on pensait alors qu’ils n’étaient que des ""composants infrastructuraux"" de la machinerie traductionnelle, des reliquats d’un monde ancestral ""tout ARN"" : les ARN ribosomiques, les ARN de transferts, les introns ainsi que les petits ARN nucléolaires. Au moyen d'approches bioinformatiques et expérimentales, nous nous intéressons particulièrement : (i) à l'étude des relations structure-fonction dans certaines familles d'ARNnc (ribosomes, riboswitches,...), (ii) à l'identification et à l'étude de nouveaux ARNnc impliqués dans les mécanismes de pathogénicité chez certaines espèces de levures.
 
Institut de Biologie Moléculaire des Plantes (IBMP)
L’activité de recherche est dédiée à l’étude des mécanismes fondamentaux de la vie des plantes dont les applications trouvent notamment leur place dans les domaines des biotechnologies ou de la recherche médicale. Les domaines étudiés sont très variés : (i) la biosynthèse de molécules bioactives (impliquées dans l’élaboration de matériaux, de cosmétiques, d’arômes ou de médicaments) et de leur régulation, (ii) virus végétaux, (iii) des grandes voies de régulation permettant le développement et la reproduction des plantes ainsi que l’adaptation à leur environnement, (iv) la biogenèse des organites, chloroplastes et mitochondries, indispensables à la production d’énergie des cellules et dont les dysfonctionnements peuvent engendrer des effets fortement délétères quant à la vie cellulaire. http://ibmp.u-strasbg.fr/
 
Laboratoire des sciences de l'ingénieur, de l'informatique et de l'imagerie (ICube)
L'équipe Complex systems and Translational Bioinformatics (CSTB) couvre un large spectre de recherches en informatique : la bioinformatique et génomique intégratives, la bioinformatique théorique, la fouille de données, l'ingénierie des connaissances et l'optimisation stochastique. Dans le domaine de la bioinformatique, nous nous focalisons essentiellement sur le domaine de la santé et plus particulièrement à l’étude des maladies génétiques rares et à la compréhension des mécanismes physiopathologiques impliqués dans ces maladies. Ces mécanismes ont souvent un intérêt potentiel pour la compréhension des processus biologiques altérés dans des maladies plus communes, telles que l’obésité, les diabètes ou les cancers.
 
Institut de génétique et de biologie moléculaire et cellulaire (IGBMC)
L'objectif de l'institut est de développer la recherche transdisciplinaire à l'interface de la biologie, la biochimie, la physique et la médecine. Nous explorons des thématiques très diverses, alliant recherche fondamentale et appliquée dans le domaine de la santé. Les travaux concernent des sujets très variés, allant de l'analyse structurale des protéines à la génétique humaine, en passant par les cellules souches, la biophysique ou l'épigénétique. Les résultats scientifiques ont déjà permis d'importantes avancées, notamment pour la compréhension de nombreuses pathologies humaines comme certains cancers ou maladies génétiques rares.
 
Institut clinique de la souris (ICS - IGBMC)
Le service informatique ICS possède une expertise informatique forte dans la mise en place de la chaine de traitement des données issues des souris génétiquement modifiés : développement d’outils de capture des données de phénotypage, des traitements statistiques appropriés, des procédures d’interfaçage avec des ressources externes. Il développe également l’analyse intégrative de ces données en les croisant avec les ressources publiques disponibles (MGI, EMMA…).
 
Institut Pluridisciplinaire Hubert Curien (IPHC)
Le Laboratoire de Spectrométrie de Masse BioOrganique (LSMBO) de l’IPHC se concentre sur le développement de méthodes analytiques pour la détermination structurale de macromolécules, principalement des protéines, sans aucune ambiguïté structurale, jusqu’au dernier atome. Des méthodes d’analyse protéomique à haut débit sont développées pour la quantification de protéomes complexes ou la découverte de biomarqueurs de pathologies. Nous développons également la MS supramoléculaire pour décrire des complexes non-covalents, des approches de protéomique structurale, de protéogénomique et de complexomique. L’équipe de bioinformatique du laboratoire développe les outils logiciels nécessaires à l’interprétation de l’ensemble des données générées, outils qui sont accessibles sur MSDA (Mass Spectrometry Data Analysis, https://msda.unistra.fr/)
 
Laboratoire de Génétique Médicale (LGM)
Le leitmotiv du LGM est d’avoir comme point de départ l’observation clinique de patients atteints de maladies rares d’origine génétique; d’identifier les causes génétique(s) de leur affection(s) et d’en étudier les mécanismes physiopathogéniques au niveau cellulaire et au niveau d’organismes modèles pour aboutir à des hypothèses thérapeutiques ouvrant la voie vers des projets de thérapies précliniques pour in fine retourner vers le patient. La motivation profonde, qui anime l’équipe constituée aussi bien de médecins que de scientifiques, est basée sur sa volonté de développer une recherche véritablement translationnelle. La recherche sur les maladies rares génétiques sont à l’origine de découverte de nouvelles voies biologiques et peuvent avoir un impact fort sur les maladies communes. Ce laboratoire a permis de développer de nouveaux axes de recherché très compétitifs dans le domaine de la génétique humaine et de la physiopathologie intégrée de divers processus pathologiques à l’origine de maladies génétiques et/ou communes. http://www.u1112.inserm.fr/



","Analyse de données de séquençage NGS
Analyse de séquences
Apprentissage automatique
Curation de collections de données
Génomique : Puces
Protéomique
"
"P3M","","","Visualisation
"
"BiRD","Biomédical
Biologie
Informatique
","
La plateforme BiRD conseille, propose et développe des services en bioinformatique : analyse de données de séquençage et génotypage à haut débit pour la détection de variants, étude du transcriptome (RNA-Seq et puces à ADN). Pour cela elle travaille aux cotés de la plateforme Génomique qui prend en charge les projets de préparations de librairies et séquençage. Ensemble les 2 plateformes forme l'infrastructure GenoBiRD.
Pour toutes ces applications, BiRD possède une expertise dans l'analyse de données à grande échelle et a développé des pipelines d’analyse bioinformatiques dédiés permettant de standardiser l’analyse depuis les données brutes jusqu’à l’interprétation biologique.
Ces services sont supportés par une infrastructure de calcul et de stockage dédiée directement connectée aux séquenceurs, accessible à distance à travers plusieurs services et ouverte à la communauté scientifique quelque soit sa tutelle.
La plateforme assure :
un accompagnement des projets d'analyse de données en génomique, depuis la définition du projet jusqu'à l'obtention de données filtrées et de bonne qualité.
la mise à disposition de la communauté scientifique une infrastructure à haute performance et des ressources bioinformatiques adaptées (cluster calcul, stockage et CLOUD OpenStack) pour le traitement et l'analyse de données 'omics'. Basée sur cette infrastructure, une instance Galaxy  permet aux biologistes un accès facilité aux outils d'analyse de données.
des formations dans le domaine de la Bioinformatique, comme une formation à l'analyse de données de transcriptome ou une initiation à l'utilisation du langage R.

 
Implantée au sein de la SFR Santé François Bonamy, la plateforme s'appuie sur les équipes de recherche en génétique et génomique humaine de l'UMR U1087, à laquelle elle est adossée. L'un des objectifs scientifiques de ces équipes est d'élucider les mécanismes moléculaires de pathologies cardiovasculaires (mort subite, arythmies, valvulopathies, anévrismes cérébraux, etc.). Les stratégies d'analyse mises en oeuvre s'appuient sur les technologies de criblage génomique à haut-débit couplées au développement de nouveaux outils bioinformatiques dédiés, dans le but d'identifier de nouveaux marqueurs de risque dans ces pathologies.
La plateforme est également co-dirigée scientiquement par le LS2N (Laboratoire des Sciences Numériques Nantes). Les travaux de recherche et développements de la plateforme BiRD sont menés en collaboration avec l’équipe ComBi dont les thématiques de recherche principales se concentrent autour de la génomique comparative et de la biologie des systèmes. Ensemble, ces deux laboratoires définissent les orientations stratégiques et scientifiques de BiRD, et coordonnent les ressources humaines et matérielles.

 
","Analyse de données de séquençage NGS
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyse de variants
Panels (amplicons, captures)
Exomes
Génomes complets
Métagénomique, métatranscriptomique
Apprentissage automatique
Extraction de connaissances
Intégration de données hétérogènes
Représentation des connaissances
Ontologies
Web sémantique
Biologie des systèmes
Fonctionnement des systèmes biologiques complexes
Génie métabolique
Analyse et modélisation multi-échelle
Modélisation des réseaux métaboliques
Modélisation des réseaux de régulation
Modélisation des systèmes
Systèmes dynamiques
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Inférence et analyse des réseaux biologiques
Statistique génétique
Développements technologiques de l‘Information et de la Communication
Outils
Intégration d'outils
Interopérabilité
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Environnements de calcul
Cluster
Cloud
Ecologie
Biodiversité
Ecologie microbienne
Modélisation en écologie
Génomique : Puces
Biopuces ADN
Génotypage
CGH
Biopuces ARN
Expression
"
"GenOuest ","Biomédical
Agro-alimentaire
Environnement
Biotechnologie
Biologie
","La plate-forme GenOuest plusieurs catégories de prestations : 1) une infrastructure bio-informatique : il s’agit de proposer un environnement bio-informatique complet au sein duquel les utilisateurs pourront évoluer en autonomie complète ou bien en recourant au support proposé par les personnels de la plate-forme. 2) le développement d’applications bioinformatiques : pour certains projets le nécessitant, des environnements spécifiques, des interfaces ou des bases de données sont développés
par les ingénieurs de la plate-forme. 3) une expertise et une consultance : pour certains projets les scientifiques font appel à la plate-forme GenOuest pour bénéficier d’une expertise en bio-informatique pour l’analyse de leurs données ou bien pour élaborer des stratégies d’analyse bioinformatiques. 4) Du transfert technologique : du fait de son implantation au sein d’un institut de recherche en informatique et bio-informatique, la plate-forme est en mesure de réaliser un transfert technologique des nouveaux outils directement issus de la recherche. 5) Des formations : un ensemble de formation est proposé par la plate-forme GenOuest 6) De l’hébergement scientifique : en partenariat avec les ingénieurs de la plate-forme les utilisateurs peuvent mettre en place de nouvelles ressources et/ou valoriser leurs travaux scientifiques grâce à la mise en place de sites ou applications web.
D’autre part, GenOuest réalise des recherches et développements autour de plusieurs axes principaux :
Les développements axés principalement sur l’analyse de séquences biologiques (Logol, DrMotifs), l'intégration des données biologiques (BioMAJ, SeqCrawler, Danaïdes), mais aussi sur l'utilisation de méta-données en biologie (EMME).
Les développements technologiques sur des outils ou environnements facilitant l'administration et l'exploitation des applications de bioinformatique (BioMAJ, MobyleNet, Galaxy) ou explorer nouveau paradigme de calcul pour la bioinformatique (genocloud, Grisbi).
Les deux axes précédents sont fédérés dans le projet e-biogenouest qui, centré sur les environnements virtuels de recherche, va exploiter les diverses avancées réalisées précédemment (gestion de données biologiques, portails, etc.)
La plate-forme est en interaction étroite avec les deux équipes de bioinformatique locales, Dyliss et GenScale, qui elles même collaborent et organisent des séminaires communs.
L’équipe Dyliss se spécialise sur l'analyse de séquences et la biologie des systèmes en utilisant des systèmes formels pour caractériser les facteurs génétiques qui contrôlent les réponses phénotypiques en fonction de l’environnement. L’équipe GenScale se concentre sur l'analyse des données génomiques à grande échelle en développant des algorithmes optimisés (CPU et mémoire), et qui peuvent également être exécutés dans des environnements parallèles.
Les domaines d’expertise de ces deux équipes contribuent à renforcer l’expertise de la plate-forme GenOuest et permettent de proposer des outils innovants.
La plate-forme GenOuest est également associée de manière très étroite avec la plate-forme INRA Bipaa qui propose des ressources bioinformatiques pour la génomique et la post-génomique des insectes.
D’un point de vue thématique les outils et méthodes développés au sein de ce groupe d’une cinquantaine de personnes trouvent leur application dans les domaines traditionnels de Biogenouest : Mer, Agronomie, Santé, Environnement.","Analyse de données de séquençage NGS
Analyse de séquences
Algorithmique des séquences
Recherche de motifs
Apprentissage automatique
Intégration de données hétérogènes
Représentation des connaissances
Ontologies
Web sémantique
Biologie des systèmes
Modélisation des réseaux métaboliques
Modélisation des réseaux de régulation
Modélisation des systèmes
Développements technologiques de l‘Information et de la Communication
Outils
Intégration d'outils
Interopérabilité
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Environnements de calcul
Cluster
Cloud
"
"PRABI-HCL","Biologie
Biomédical
Biotechnologie
","","Aucun des termes ci-dessus ne convient
"
"PRABI-AMSB","Environnement
Biologie
","Les domaines de compétences du PRABI-AMSB comprennent la phylogénie moléculaire, les statistiques, l’écologie, la virologie et la microbiologie ainsi que l’analyse de données biomédicales. Par ailleurs les méthodologies utilisées sont celles de la génomique, la transcriptomique, la métagénomique/métatranscriptomique, ainsi que la biologie des systèmes.","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Génomique (DNA-seq)
Analyse de génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Génomes complets
Analyse de la régulation de l’expression des gènes
Chip-seq
Métagénomique, métatranscriptomique
Analyse de séquences
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Biologie des systèmes
Modélisation des réseaux de régulation
Modélisation des systèmes
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Curation de collections de données
Développements technologiques de l‘Information et de la Communication
Outils
Interfaces, portails web
Développement de workflows
Données
Bases de données et systèmes d’informations
Cluster
Cloud
Parallélisation
Ecologie
Biodiversité
Ecologie microbienne
Modélisation en écologie
Evolution et phylogénie
Evolution moléculaire
Gènes et génomes
Phylogénomique
Arbre de la vie
Super-arbres et réconciliations
Détection de sélection
Génomique comparative
Comparaison des génomes
Génomique : Puces
Métabolomique et fluxomique
"
"PRABI-Lyon-Grenoble","Biomédical
Agro-alimentaire
Environnement
Biologie
","Les thématiques de recherche du PRABI-Doua s’organisent autour d’un point de vue méthodologique, qui affirme l’importance de la modélisation tant mathématique qu’informatique et d’une perspective évolutive qui organise les recherches indépendamment du niveau d’organisation biologique. C’est dans la synergie entre des problématiques biologiques propres et des développements méthodologiques que naît la plus grande part des résultats scientifiques de cette composante. Parmi les thématiques abordées figurent en particulier:
Phylogénie et évolution moléculaire.
Génomique comparative (organismes eucaryotes et procaryotes).
Eléments transposables.
Intreractions hôtes-parasites.
Statistiques appliquées à l'écologie et l'évolution.
Analyse statistique de données en grandes dimensions pour la génomique.
","Analyse de séquences
Algorithmique des séquences
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Inférence et analyse des réseaux biologiques
Développements technologiques de l‘Information et de la Communication
Outils
Interfaces, portails web
Développement de workflows
Données
Bases de données et systèmes d’informations
Environnements de calcul
Cluster
Cloud
Ecologie
Génétique des populations
Biodiversité
Ecologie microbienne
Modélisation en écologie
Evolution moléculaire
Gènes et génomes
Datation des spéciations
Phylogénomique
Arbre de la vie
Super-arbres et réconciliations
Détection de sélection
Génomique comparative
Comparaison des génomes
"
"PRABI-Lyon-Gerland","Biomédical
Biotechnologie
Biologie
","



Le PRABI-Gerland https://prabi.ibcp.fr localisé à l'IBCP développe les bases de données dans le domaine infectieux, les méthodes de prédiction et d'optimisation des structures 3D de protéines ainsi que les outils et services s'y rapportant. Dans le domaine des services la spécificité de la PF est la bioinformatique structurale (Modélisation moléculaire, prédiction de structure) introduite sur Lyon dès 1986 (il y a 25 ans avant même que le mot n'existe...). Dans ce domaine, l’activité proposée par le PRABI-Gerland s’appuie sur les expertises suivantes:
 Prédiction de structure de protéines [G. Deléage]
 Modélisation moléculaire [E. Bettler, G. Deléage, R. Terreux]
 Intégration de méthodes et serveurs Web [C. Combet, G Deléage]
 Serveur Web 3D [E. Bettler, G. Deléage]
 Drug design et QSAR (R. Terreux, J.A. Chemelle)
 
Mots clefs: Bioinformatique structurale, Prédiction de structure, Base de données structurales, Analyse de séquences, Modélisation moléculaire, docking moléculaire.
 
Principaux sites web: https://prabi.ibcp.fr (site en cours de refonte)
 https://geno3d-prabi.ibcp.fr/
 https://npsa-prabi.ibcp.fr/
 http://sumo-pbil.ibcp.fr
 http://espript.ibcp.fr
 http://endscript.ibcp.fr
Méthodes de prédiction des structures secondaires de protéines.
Plusieurs méthodes originales ont été développées, Self Optimized Prediction Method (SOPM), génère automatiquement à partir de cette base de donnée, une ""sous-base"" rassemblant les 60 à 80 protéines les plus homologues ou appartenant à la même classe structurale que la protéine
étudiée. En effet, des protéines homologues ont généralement une structure assez proche (30% d'identité indique une architecture semblable). Après une phase d'apprentissage automatique sur cette ""sous-base"", en particulier d'optimisation des paramètres, la prédiction de la structure de la protéine est réalisée. La version SOPMA tire bénéfice des alignements multiples. La méthode MLRC combine les réseaux de neurones avec la méthode SOPMA.
 [SOPMA] Self optimised Prediction Method (1995)
 [SOPM] Self optimised Prediction Method (1994)
 [DPM] Double prediction Method (1987)
 [MLRC] Multivariate Linear Regression Combination (1999)
 [AMPHIPASEEK] Prediction of membrane anchor helical peptides (2006)
 
Intégration de methodes- WebicielsServeur NPS@
Le PRABI Gerland a développé le premier serveur de mail Français pour la prédiction de structures secondaires de protéines (80 000 prédictions en tout). Ensuite ces méthodes ont été intégrées dans [NPS@ 2000]. Le serveur est actuellement dans sa version 3. Dans le cadre de RENABI-IFB, ce serveur généraliste de séquences couplé aux prédictions de structures sera mis à jour en termes d’ergonomie, d’interface et de conception. Mise à disposition d’outils et de services en ligne correspondant aux domaines d’expertise du laboratoire d’accueil de la PF.
 
Serveur Web ESPript/ENDscript
A partir d’une protéine de structure connue (code ou fichier PDB), le serveur ENDscript produit, en quelques secondes et de manière automatisée, plusieurs illustrations téléchargeables dans des formats usuels (PostScript, PDF, PNG et TIFF) :
1/ Une première figure, générée par le logiciel ESPript, présente la séquence de la protéine d’intérêt agrémentée de ses éléments de structure secondaire, de l’accessibilité au solvant et de l’hydropathie par résidu. Si disponibles, sont aussi représentés les contacts cristallographiques et non-cristallographiques protéine/protéine et/ou protéine/ligand ainsi que les résidus impliqués dans des ponts disulfures.
2/ Une seconde figure ESPript montre, en plus des informations précédentes, un alignement multiple de séquences des protéines homologues coloré en fonction de la conservation des résidus et agrémenté des éléments de structure secondaire de ces dernières si leurs structures sont connues. 
3/ Deux représentations 3D interactives visualisables par le logiciel PyMOL : a) une représentation en ruban, colorée en fonction de la conservation de séquence. b) une représentation en tube dont le diamètre est proportionnel à la déviation structurale (rmsd) entre la protéine d’intérêt et les protéines homologues de structure connue. De plus, si disponible, peuvent être affichés : l’assemblage de l’unité biologique, les modèles RMN multiples, les ligands et les résidus en contact avec ces derniers.
Le serveur ESPript permet, en complément d’ENDscript ou de manière autonome, de représenter des alignements multiples de séquences avec la possibilité d’ajouter des marqueurs définis par l’utilisateur de manière à produire des figures facilitant l’analyse ou dédiées aux communications scientifiques.
 
Modélisation moléculaire
Un serveur Web de modélisation moléculaire automatique de structure 3D de protéines appelé geno3D est disponible depsuis 2002 qui permet aux biologistes et biochimistes d'obtenir un modèle 3D de qualité si la séquence ""query"" présente plus de 35% d'identité avec une protéine de structure 3D connue. Le principe de cette modélisation consiste à appliquer les techniques de modélisation sous contraintes à la protéine à modéliser (de type RMN) à partir d'un jeu de contraintes calculées sur l'empreinte structurale. Plusieurs empreintes sont utilisables, le ligand (si présent) est replacé dans les modèles, 10 modèles sont générés. Les résultats sont proposés sous la forme d’une archive récupérable et les résultats sont conservés 8 jours sur le serveur. Ce serveur génère 100 modèles/mois. Un système intégré de modélisation moléculaire (MAGOS ) à grande échelle de protéomes entiers a été utilisé pour des protéomes de virus (modeome3D) et de plantes (arabidome3D).
 
Docking et sites 3D- chemo-informatique
Une méthode bioinformatique SUMO a été développée permettant de détecter des sites 3D fonctionnels communs à plusieurs protéines. L’approche a fait l’objet d’un brevet déposé par le CNRS et d'un serveur Web pour rendre utilisable la méthode par la communauté académique.
Dans un travail récent, nous avons réévalué les paramètres et avons montré que la qualité de comparaison était améliorée tout comme la rapidité du calcul. Cette méthode a été appliquée pour établir une classification des antibiotiques à noyau ß lactame.



","Analyse de séquences
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Bioinformatique structurale
Analyse des structures, recherche d'homologues et de motifs structuraux
Prédictions des propriétés structurales
Modélisation comparative et de novo de structures
Modifications post-traductionnelles
"
"PRABI-G","Biomédical
Environnement
Biotechnologie
Biologie
","Computational biology for MS-based proteomics (basic science and biomedical research) and metagenomics (environment, ecology and evolution)","Analyse de données de séquençage NGS
Métagénomique, métatranscriptomique
Analyse de séquences
Curation de collections de données
Ecologie
Génétique des populations
Biodiversité
Protéomique
"
"Genotoul-bioinfo","Biomédical
Agro-alimentaire
Environnement
Biotechnologie
Biologie
","Les domaines d’expertise de la plateforme GenoToul bioinfo sont :
le traitement des données issues du séquençage haut débit : assemblage, annotation, analyse d’expression (RNAseq, RNAseq de novo, sRNAseq), métagénomique, analyse de variants, méthylSeq.
l’analyse bioinformatique des ARNnc : annotation, prédiction, recherche de cibles, chez les archae, les bactéries, les plantes et les animaux.
","Analyse de données de séquençage NGS
Génomique (DNA-seq)
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Exomes
Génomes complets
Petits et longs ARN non-codants
Profils de méthylation
Métagénomique, métatranscriptomique
Analyse de séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Interopérabilité
Interfaces, portails web
Développement de workflows
Cluster
Evolution et phylogénie
Evolution moléculaire
Phylogénomique
Détection de sélection
Génomique comparative
Comparaison des génomes
"
